id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,runner_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
33,,XLMUSDT,LONG,CLOSED,0.19822,0.1989,0.19885,364.7623048738202,20.0,7295.2460974764035,36803.78416646354,STRONG_BUY,0.0932,0.1088,0.0397,63.19,41.18,21.6388,21.0687,0.6101,0.6138,BULLISH,0.0488,0.0233,35.467,37.7422,58.2,53.9,44.2,0.1682,43.3,41.7,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,,,1.3294,2.3818,79.1,14.0,90.0,0.5701,2.0,STRONG_BULL,HEALTHY_BEAR,,-0.1851,28.111567041852204,15.455387056043438,0.4185,-0.383,3.9e-05,-0.509,0.7632,0.1829,-0.1476,2026-06-09T12:36:42.799633,,121310120.24959,7295.2460974764035,121310.12024958999,False,,-0.124,,,,,,,,,3.2828607438643815,3.294122701819319,6.5769834456837,18.449589787511,0.2528987993138867,0.2528987993138867,-0.36230198769045135,0.1989,0.19822,0.0,0.3367,0.0986,2026-06-09T12:36:49.110141,2026-06-09T12:06:34.561005,0.3624,RECOVERED,1,0.45,,True,,-0.0403,False,,,,1.0,1.0,,False,,,0,,0.3417,0.0986,True,0.19989,0.1976,2026-06-09T13:00:35.117972,2026-06-09T12:45:59.576883,0.7525,-0.4028,23.76,9.17,,,0.021,,8.97,-0.2968,38.03,0.4094,,,,,,,,,False,2026-06-09T12:36:49.928649,0.248,,,,0.1017,0.1522,-0.1152,0.0361,0.5204,,,,,2026-06-09T12:35:07.422323,-0.1051,2026-06-09T13:01:19.512415,0.5003,2026-06-09T12:37:49.335602,0.1017,2026-06-09T12:37:52.357632,0.0765,2026-06-09T13:02:05.838830,0.4296,2026-06-09T13:02:08.856703,0.3792,2026-06-09T13:01:59.710228,0.4448,2026-06-09T12:59:39.438688,0.3489,0.5025,trailing,56.99,0.1525,trailing,74.52,0.5025,trailing,56.99,0.4525,trailing,57.62,0.4145,stretch,54.36,0.3388,stretch,55.2,0.5154,stretch,57.51,0.4649,stretch,53.22,0.4801,ema5_cross,68.86,0.6132,0.6251030079157665,False,,,,False,,,2026-06-09T12:28:25.114238,-0.2816,,,2026-06-09T12:35:07.422134,-0.1051,-0.1505,17.93,-0.3169,14.58,2026-06-09T12:04:19,2026-06-09T12:36:49.113594,ATR_FIXED_TP L1,TAKER_FALLBACK,TAKER,True,
32,,AVAXUSDT,SHORT,CLOSED,6.707,6.722,6.723,420.3431551209212,30.0,12610.294653627636,1880.1691745381893,STRONG_BUY,0.3364,0.1144,0.1266,32.83,33.77,28.0504,26.6602,0.1855,-0.1852,BEARISH,-0.1667,-0.1371,34.0284,31.7704,32.5,33.5,44.1,0.2023,44.7,50.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,W2+W6,,,0.9776,1.2301,20.9,69.8,12.4,1.3902,6.0,STRONG_BEAR,STRONG_BEAR,,-0.1134,10.371080339183266,28.128497913205635,0.2898,-0.0225,-4.3e-05,-0.0407,-0.4257,-0.3101,-0.0197,,,103980684.612,12610.294653627636,103980.68461200001,False,,-0.2169,2026-06-09T08:39:24.459653,-0.3762,,,2026-06-09T08:51:29.747820,-0.4359,,,2.2698530376529744,5.687323736060569,7.9571767737135435,-36.15971439178745,-0.28674757715820137,0.10108155658267663,-0.4657456388847493,6.707,6.696,0.0,0.2596,-0.1103,2026-06-09T09:07:29.123101,2026-06-09T08:43:09.023408,-0.137,ENDED_NEG,1,0.45,,False,,-0.0149,False,,,,2.0,1.5,W2+W6,True,-0.3762466080214687,,0,,-0.0766,0.0964,True,6.723,6.657,2026-06-09T09:21:56.055013,2026-06-09T09:43:34.695772,0.6825,-0.3016,0.06,21.7,0.01,-0.2866,0.265,0.0,0.01,-0.2866,39.07,0.3992,,,0.01,-0.2866,,,,,False,,,,,,-0.2866,-0.2568,-0.1525,0.4439,0.4588,,,,,,,,,,,,,,,,,,,,,0.4588,ema13,74.09,0.4588,ema13,74.09,0.4588,ema13,74.09,0.4588,ema13,74.09,0.4588,ema13,74.09,0.4588,ema13,74.09,0.4588,ema13,74.09,0.4588,ema13,74.09,0.4588,ema13,74.09,0.5213,0.24461407498807325,False,,,,False,,,,,,,,,-0.1525,1.14,-0.242,15.69,2026-06-09T08:19:11,2026-06-09T09:21:52.180409,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
31,,SUIUSDT,SHORT,CLOSED,0.7476,0.7522,0.7523,840.6863102418422,30.0,25220.589307255264,33735.40570793909,STRONG_BUY,0.5205,0.1747,0.1906,29.76,32.26,21.5017,19.7108,0.2934,-0.2926,BEARISH,-0.2548,-0.1371,34.0284,31.7704,32.5,33.5,44.1,0.2023,44.7,50.8,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,W2+W6,,,0.9776,1.3461,20.9,69.8,12.2,1.7909,3.0,STRONG_BEAR,STRONG_BEAR,,-0.1134,12.88273922288264,33.78016393789024,0.3591,-0.113,-4.3e-05,-0.1903,-0.6564,-0.3101,-0.0197,,,172173873.52707,25220.589307255264,172173.87352706998,False,,-0.1706,2026-06-09T08:36:46.532890,-0.5314,,,2026-06-09T08:42:18.367315,-0.692,,,4.539706075305948,11.419097478080303,15.95880355338625,-171.14166980990396,-0.6785791867308637,0.0,-0.7053434991974205,0.7476,0.7474,0.0,,,,2026-06-09T08:42:34.781705,-0.2318,ENDED_NEG,1,0.45,,False,,-0.0134,False,,,,2.0,1.5,W2+W6,False,-0.5313754681647871,,0,,-0.1875,0.2264,True,0.7523,0.7464,2026-06-09T08:43:04.897727,2026-06-09T09:11:13.488789,0.0975,-0.6917,0.38,28.52,0.01,-0.6516,-0.0095,0.0,0.01,-0.6516,32.43,-0.2636,,,0.01,-0.6516,,,,,False,,,,,,-0.6114,-0.5312,-0.4375,-0.1566,-0.0764,,,,,,,,,,,,,,,,,,,,,-0.0095,window,,-0.0095,window,,-0.0095,window,,-0.0095,window,,-0.0095,window,,-0.0095,window,,-0.0095,window,,-0.0095,window,,-0.0095,window,,,0.3068331099850982,False,,,,False,,,,,,,,,-0.1968,2.3,-0.1433,3.42,2026-06-09T08:19:09,2026-06-09T08:42:41.735480,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
30,,SOLUSDT,SHORT,CLOSED,66.441,66.69,66.67,840.6863102418422,30.0,25220.589307255264,379.59376450166707,VERY_STRONG,0.3604,0.1131,0.1352,33.33,33.33,33.1532,31.7206,0.2185,-0.218,BEARISH,-0.1742,-0.1371,34.0284,31.7704,32.5,33.5,44.1,0.2023,44.7,50.8,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,W1+W2+W6,,,0.9776,1.3273,20.9,69.8,10.1,1.4326,5.0,STRONG_BEAR,STRONG_BEAR,,-0.1134,9.732717694269908,30.632998772697256,0.3111,-0.0592,-4.3e-05,-0.0664,-0.4656,-0.3101,-0.0197,,,1686105197.4823,25220.589307255264,500000.0,False,,-0.167,2026-06-09T08:34:11.936527,-0.4379,,,2026-06-09T08:43:04.441364,-0.5283,,,4.539706075305948,11.391798669577279,15.931504744883227,-110.45035210579651,-0.4379372375490965,0.0,-0.5282835598500888,66.441,66.44,0.0,,,,2026-06-09T08:43:04.443806,-0.1793,ENDED_NEG,1,0.45,,False,,-0.0015,False,,,,2.0,1.5,W1+W2+W6,False,-0.4379372375490965,,0,,-0.0546,0.1055,True,66.79,66.29,2026-06-09T09:21:33.864112,2026-06-09T09:30:52.379707,0.1643,-0.5883,35.46,44.77,0.0,-0.4679,0.1492,0.0,20.1,-0.3023,6.66,-0.498,,,0.0,-0.4679,,,,,False,,,,,,-0.498,-0.3174,-0.3475,-0.2722,-0.4829,,,,,,,,,,,,,,,,,,,,,0.1492,window,,0.1492,window,,0.1492,window,,0.1492,window,,0.1492,window,,0.1492,window,,0.1492,window,,0.1492,window,,0.1492,window,,,0.21845357310510566,False,,,,False,,,,,,,,,-0.3476,7.06,-0.3777,8.19,2026-06-09T08:18:51,2026-06-09T08:46:05.779919,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
29,,DASHUSDT,LONG,CLOSED,37.339,37.46,37.42,403.91433414865844,20.0,8078.286682973168,216.34984019318054,STRONG_BUY,0.2591,0.064,0.0788,52.62,57.76,19.2,18.4513,0.1203,-0.1201,BULLISH,0.1532,0.0229,23.5896,23.9599,51.2,58.9,52.9,0.1649,53.9,53.2,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,W2+W4,,,0.7264,1.3612,68.2,25.0,48.5,0.7487,4.0,HEALTHY_BULL,CHOPPY_FLAT,,0.219,25.772023297334034,14.205381001686456,0.5385,0.3935,-6.1e-05,0.5869,0.0227,-0.0227,0.075,2026-06-09T07:18:55.058217,,40056181.51,8078.286682973168,40056.18151,False,,0.2046,2026-06-09T07:15:00.875187,-0.0871,,,2026-06-09T07:15:15.740718,-0.2209,,,1.4540916029351705,3.6470092561364447,5.101100859071615,21.07722980430371,0.26091212940893493,0.26091212940893493,-0.22094062508368592,37.46,37.339,0.0,0.196,0.2022,2026-06-09T07:18:55.059407,2026-06-09T07:15:15.740865,-0.2814,RECOVERED,1,0.45,,True,,-0.0027,False,,,,1.0,1.0,W2+W4,False,-0.08709263772463198,,0,,0.2226,0.2022,True,37.65,37.28,2026-06-09T07:51:03.774319,2026-06-09T07:29:10.433347,0.7699,-0.221,32.14,10.25,,,0.1271,,42.01,0.2611,43.14,0.0736,,,,,,,,,True,2026-06-09T07:18:56.184706,0.2343,,,,0.0736,0.02,0.3414,0.2343,0.3682,,,,,,,2026-06-09T07:27:27.474289,0.1539,2026-06-09T07:27:24.452289,0.1807,2026-06-09T07:27:25.459241,0.1807,2026-06-09T07:20:07.848893,0.0736,2026-06-09T07:27:25.459241,0.1807,2026-06-09T07:27:27.474289,0.1539,2026-06-09T07:19:57.704043,0.0736,0.2789,trailing,12.45,-0.0711,trailing,13.16,0.2789,trailing,12.45,0.2289,trailing,12.48,0.2611,stretch,12.45,0.2343,stretch,12.47,0.1807,stretch,12.48,0.1271,window,,-0.0068,ema5_cross,12.97,0.7054,0.11597814614116661,False,,,,False,,,2026-06-09T07:15:23.280515,-0.1406,,,,,-0.1674,1.13,,,2026-06-09T07:14:50,2026-06-09T07:18:55.062640,ATR_FIXED_TP L1,MAKER,TAKER,True,
28,,CHZUSDT,LONG,CLOSED,0.02635,0.02644,0.02642,403.9143341486584,20.0,8078.286682973167,306576.3447048641,VERY_STRONG,0.4988,0.1267,0.1658,57.6,61.97,29.4029,28.8291,0.0182,-0.0182,BULLISH,0.2447,0.0229,23.5896,23.9599,51.2,58.9,52.9,0.1649,53.9,53.2,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,W2+W4,,,0.7264,1.4112,68.2,25.0,66.7,0.5738,5.0,HEALTHY_BULL,CHOPPY_FLAT,,0.219,25.902596904715352,11.949492481748356,0.6109,0.5274,-6.1e-05,0.8324,0.2745,-0.0227,0.075,2026-06-09T07:16:49.178558,,43094740.45186,8078.286682973167,43094.74045186,False,,0.1926,,,,,,,,,3.635229007337925,3.647645349298473,7.282874356636398,20.308996666802372,0.2514022770398606,0.2514022770398606,-0.27966793168879683,0.02644,0.02635,0.0,0.3032,0.2242,2026-06-09T07:16:49.178518,2026-06-09T07:15:06.909124,-0.2464,RECOVERED,1,0.45,,True,,-0.0379,False,,,,1.0,1.0,W2+W4,False,,,0,,0.3409,0.2242,True,0.02666,0.02628,2026-06-09T08:00:05.285335,2026-06-09T07:27:53.753670,1.0865,-0.3557,43.12,10.93,,,0.8208,,10.26,-0.052,9.13,0.1757,,,,,,,,,True,2026-06-09T07:16:58.405060,0.2516,,,,0.1377,0.5172,0.4793,-0.0141,0.669,,,,,,,2026-06-09T07:23:36.612970,0.4034,2026-06-09T07:23:35.606112,0.4034,2026-06-09T07:23:36.612970,0.4034,2026-06-09T07:23:37.619032,0.4034,2026-06-09T07:23:37.619032,0.4034,2026-06-09T07:23:37.619032,0.4034,2026-06-09T07:24:07.934035,0.4034,0.2672,trailing,6.36,0.107,trailing,10.92,0.2672,trailing,6.36,0.2172,trailing,6.4,0.3275,stretch,4.97,0.3654,stretch,5.74,0.3275,stretch,5.89,0.8208,window,,0.1377,ema5_cross,9.96,0.5083,0.2654705820202244,False,,,,False,,,2026-06-09T07:15:23.278677,-0.2417,,,,,,,,,2026-06-09T07:14:48,2026-06-09T07:16:57.536707,ATR_FIXED_TP L1,TAKER_FALLBACK,TAKER,True,
27,,LAYERUSDT,LONG,CLOSED,0.06833,0.06857,0.06854,403.9143341486584,20.0,8078.286682973167,118224.59656041516,STRONG_BUY,0.0535,0.0794,0.0191,58.88,43.73,15.3461,15.1709,0.6659,0.6703,BULLISH,0.095,0.0376,23.5896,23.9599,59.3,58.9,52.9,0.1537,55.8,53.2,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,,,,0.5856,0.4565,68.2,25.0,61.5,0.1753,3.0,HEALTHY_BULL,CHOPPY_FLAT,,0.235,29.053505237196713,20.346835161145744,0.7508,-0.4466,-4.3e-05,-0.7102,0.7311,0.1093,0.0897,2026-06-09T07:18:07.316990,,66768884.993331,8078.286682973167,66768.884993331,False,,0.1979,,,,,,,,,3.635229007337925,3.6479972637664506,7.283226271104375,21.090676903395746,0.2610785891994791,0.2610785891994791,-0.4995916873993889,0.06857,0.06833,0.0,0.7233,0.8948,2026-06-09T07:18:07.353314,2026-06-09T07:13:06.664032,0.2432,NEVER,1,0.45,,True,,-0.1169,False,,,,1.0,1.0,,False,,,0,,0.6795,0.953,False,0.06918,0.06797,2026-06-09T07:23:46.682729,2026-06-09T08:01:08.430905,1.154,-0.6169,5.49,42.85,34.76,-0.1339,-0.09,1.154,12.3,0.3051,10.04,0.1881,,,37.02,-0.3388,,,,,False,2026-06-09T07:18:17.774190,0.2612,,,,0.3051,0.4515,0.6564,-0.0168,0.2173,,,,,,,2026-06-09T07:26:21.957499,0.6271,2026-06-09T07:26:37.062982,0.6417,2026-06-09T07:27:23.445724,0.3344,2026-06-09T07:25:16.439141,0.7003,2026-06-09T07:25:17.446297,0.6856,2026-06-09T07:25:16.439141,0.7003,2026-06-09T07:26:51.184500,0.5247,0.904,trailing,13.0,0.554,trailing,15.7,0.354,trailing,16.29,0.154,trailing,16.89,0.6417,stretch,14.34,0.7442,stretch,14.99,0.6271,stretch,15.21,0.4954,stretch,9.36,0.2027,ema5_cross,16.79,1.1428,0.7974246892011354,False,,,,False,,,2026-06-09T07:15:23.275931,-0.0461,,,,,,,,,2026-06-09T07:11:06,2026-06-09T07:18:17.069204,ATR_FIXED_TP L1,TAKER_FALLBACK,TAKER,True,
26,,FETUSDT,LONG,CLOSED,0.2101,0.2109,0.2108,397.85467231426685,20.0,7957.0934462853365,37872.88646494687,STRONG_BUY,0.5275,0.1093,0.2019,64.59,54.66,21.9786,22.0387,0.3722,0.3736,BULLISH,0.1651,0.0809,27.2349,26.5473,62.0,58.9,70.7,0.2369,54.0,52.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,W2,,,0.7453,1.1922,84.1,11.4,94.3,-0.0601,3.0,HEALTHY_BULL,STRONG_BULL,,0.2849,28.174865488351557,18.31931846372956,0.5396,0.3054,-4.3e-05,0.3741,0.6861,0.265,-0.0009,2026-06-09T05:31:53.884457,,50331903.563,7957.0934462853365,50331.903563,False,,0.3074,,,,,,,,,3.5806920508284015,3.5943262899557826,7.1750183407841845,23.123290831173126,0.29059971442170157,0.29059971442170157,-0.18514992860542873,0.2109,0.2101,0.0,0.4027,0.3172,2026-06-09T05:31:53.884424,2026-06-09T05:28:18.621173,0.0349,NEVER,1,0.45,,True,,0.0476,False,,,,1.0,1.0,W2,False,,,0,,0.4499,0.3172,True,0.2122,0.2102,2026-06-09T05:37:38.922651,2026-06-09T06:10:08.844200,0.9095,-0.0424,5.65,38.15,39.19,0.3384,0.148,0.9095,13.34,0.4812,11.09,0.386,,,,,,,,,False,,,,,,0.2432,0.3384,0.7191,0.4812,0.2432,,,,,,,2026-06-09T05:38:08.223190,0.6239,2026-06-09T05:38:07.216045,0.6239,2026-06-09T05:38:08.223190,0.6239,2026-06-09T05:38:12.248691,0.5763,2026-06-09T05:40:17.297877,0.5288,2026-06-09T05:40:18.304755,0.5288,2026-06-09T05:40:47.514665,0.4812,0.6595,trailing,18.44,0.3095,trailing,28.19,0.6595,trailing,18.44,0.6095,trailing,18.44,0.6239,stretch,15.62,0.5288,stretch,15.98,0.4812,stretch,21.16,0.3384,signal_lost,51.55,0.386,ema5_cross,27.52,0.7785,0.5143013369968971,False,,,,False,,,,,,,,,,,,,2026-06-09T05:19:31,2026-06-09T05:31:59.488876,ATR_FIXED_TP L1,TAKER_FALLBACK,TAKER,True,
25,,XLMUSDT,LONG,CLOSED,0.20040000000000002,0.20103,0.20097,404.679341331727,20.0,8093.586826634541,40387.15981354561,STRONG_BUY,0.5993,0.198,0.2372,62.41,60.76,19.604,19.0289,0.1697,0.17,BULLISH,0.258,0.1806,23.0871,20.8631,65.5,70.7,51.6,0.2378,53.7,44.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,0.9797,1.0008,88.6,9.1,87.3,0.575,3.0,HEALTHY_BULL,HEALTHY_BULL,,0.2416,27.191096651748087,15.60280828697064,0.507,-0.0137,-4.3e-05,0.0485,0.6065,0.3884,-0.0664,2026-06-09T05:15:56.172211,,117896343.49773,8093.586826634541,117896.34349773,False,,0.2723,,,,,,,,,1.4568456287942173,3.6535638317926824,5.1104094605869,20.333501221945376,0.2512297904191437,0.2512297904191437,-0.3672542415169796,0.20103,0.20040000000000002,0.0,0.3281,0.0698,2026-06-09T05:16:05.530719,2026-06-09T05:03:40.591372,-0.1671,RECOVERED,1,0.45,,True,,-0.0499,False,,,,1.0,1.0,W6,False,,,0,,0.333,0.0698,True,0.20265,0.20071,2026-06-09T05:55:07.691838,2026-06-09T05:28:56.715821,1.0598,0.0917,39.03,12.85,,,0.6606,,25.87,0.3212,11.28,0.2214,,,,,,,,,True,,,,,,0.421,0.2763,0.4061,0.2314,0.4709,,,,,,,2026-06-09T05:35:18.927490,0.426,2026-06-09T05:26:12.090024,0.2414,2026-06-09T05:33:42.141166,0.3811,2026-06-09T05:28:56.715821,0.0917,2026-06-09T05:33:43.147409,0.3811,2026-06-09T05:33:44.154129,0.4011,2026-06-09T05:28:59.744378,0.1616,0.2808,trailing,33.55,0.6606,window,,0.2808,trailing,33.55,0.2308,trailing,36.29,0.3113,stretch,33.5,0.2963,stretch,33.51,0.2564,stretch,35.23,0.3113,stretch,33.5,0.1516,ema5_cross,37.84,0.5595,0.3082133617313984,False,,,,False,,,,,,,,,-0.1578,12.43,-0.1528,9.03,2026-06-09T04:51:01,2026-06-09T05:16:05.536089,ATR_FIXED_TP L1,MAKER,TAKER,True,
24,,HYPEUSDT,LONG,CLOSED,62.094,61.637,61.649,404.67934133172696,20.0,8093.586826634539,130.34410452917413,VERY_STRONG,0.1522,0.1688,0.0597,56.25,52.57,24.1751,25.1189,0.3087,0.3096,BULLISH,0.1386,0.1806,23.0871,20.8631,65.5,70.7,51.6,0.2378,53.7,44.9,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,,,,0.9797,0.8657,88.6,9.1,64.4,-0.9438,5.0,HEALTHY_BULL,HEALTHY_BULL,,0.2416,25.205360446841564,19.842245303365928,0.5387,-0.5484,-4.3e-05,-0.6315,0.5389,0.3884,-0.0664,,,1414948188.72391,8093.586826634539,500000.0,False,,0.2758,2026-06-09T05:01:47.195639,-0.5508,,,2026-06-09T05:01:44.299884,-0.5057,,,1.456845628794217,3.6153088068891175,5.072154435683334,-64.63941020551601,-0.7986497407156904,0.0,-0.848551583083711,62.096,62.094,0.0,,,,2026-06-09T05:06:18.974130,-0.4051,ENDED_NEG,1,0.45,,False,,-0.0016,False,,,,1.0,1.0,,False,-0.5507502657261641,,0,,-0.2535,-0.0811,True,62.575,61.208,2026-06-09T05:34:53.707945,2026-06-09T05:10:33.992210,0.7116,-1.4899,28.0,3.67,0.02,-0.8054,0.4056,0.0,0.02,-0.8054,3.28,-1.382,,,3.28,-1.382,,,,,False,,,,,,-0.7281,-1.0776,-1.1211,0.2639,0.4846,,,,,,,2026-06-09T05:35:30.003593,0.4701,2026-06-09T05:24:01.787554,0.1802,2026-06-09T05:37:07.708762,0.3428,2026-06-09T05:35:50.137452,0.433,2026-06-09T05:37:07.708762,0.3428,2026-06-09T05:25:26.622405,0.0626,2026-06-09T05:25:25.613240,0.0626,0.4926,ema13,32.04,0.4926,ema13,32.04,0.4926,ema13,32.04,0.4926,ema13,32.04,0.4926,ema13,32.04,0.4926,ema13,32.04,0.4926,ema13,32.04,0.4926,ema13,32.04,0.4926,ema13,32.04,0.7034,0.3818455594073052,False,,,,False,,,,,,,,,-0.6039,11.36,-0.5958,12.49,2026-06-09T04:50:57,2026-06-09T05:06:53.409668,STOP_LOSS L1,MAKER,TAKER,True,
