id,binance_order_id,backstop_algo_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_pair_age_days,entry_br_r72,entry_br_above,entry_br_eff,entry_br_off24h,entry_br_door,funding_fee_usd,spike_rsi_max,spike_armed,belock_t15_min,belock_tr15,belock_t20_min,belock_tr20,belock_t30_min,belock_tr30,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,hard_tp_shadow_leash_pnl,hard_tp_shadow_leash_fired,hard_tp_shadow_ladder_pnl,hard_tp_shadow_ladder_fired,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,entry_strategy,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,shadow_peak_stretch_at_close,shadow_atr05_pnl,shadow_atr05_min,shadow_atr10_pnl,shadow_atr10_min,shadow_atr15_pnl,shadow_atr15_min,shadow_cap025_pnl,shadow_cap025_min,shadow_cap035_pnl,shadow_cap035_min,shadow_cap050_pnl,shadow_cap050_min,shadow_arm035_pnl,shadow_arm035_min,shadow_arm040_pnl,shadow_arm040_min,runner_peak_stretch,runner_trail_bound,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
9,10965257764,,ONDOUSDT,LONG,CLOSED,0.37919831,0.38179436,0.3818,385.3526985713,20.0,7707.053971425999,20324.6,STRONG_BUY,0.2538,0.0605,0.0805,59.13,56.98,19.3722,19.6729,0.0846,0.0847,BULLISH,0.1149,0.0232,38.146,38.911,49.8,58.4,62.3,0.2727,66.3,68.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,1.1304,0.8913,55.6,33.3,87.5,-0.3007,3.0,STRONG_BULL,STRONG_BULL,,0.4571,17.12512404756814,12.538260605322705,0.4575,0.3145,-8e-06,0.485,0.2259,-0.1555,0.3653,2026-08-27T16:12:38.329305,0.09496238538089281,58192769.42764,39,950.1,,,,,,,,False,2.17,-0.0105,2.21,-0.0105,2.99,-0.0105,7707.116335327501,58192.76942764,False,,0.4064,,,,,,,,,3.4681742871416996,3.4919179421651996,6.960092229306899,45.80358560069343,0.5943073160057113,1.0702660464124996,-0.11591408186919146,0.3836,0.37919831,0.0,0.5089,0.5041,2026-08-27T16:34:25.582656,2026-08-27T16:10:28.359207,0.0583,RECOVERED,1,0.4,,True,0.0015,-0.0004,True,2026-08-27T16:35:18.434601,,,2.0,1.0,UNMATCHED,False,,,0,,0.0296,0.5128,True,,,,,0.384,0.3793,2026-08-27T17:18:32.955609,2026-08-27T17:03:20.901750,1.1763,-0.0632,43.06,27.86,27.27,0.1214,1.0708,0.9917,7.67,0.5961,27.27,0.1214,,,27.27,0.1214,,,,,False,MOMENTUM,2026-08-27T16:36:01.954393,0.728,,,,0.5697,0.7807,0.6225,0.7016,0.0159,2026-08-27T16:20:24.360899,0.1740410605996634,2026-08-27T16:31:28.241054,,,,2026-08-27T16:40:32.361082,0.5961,2026-08-27T16:35:29.671138,0.5697,2026-08-27T16:35:29.671138,0.5697,2026-08-27T16:35:29.671138,0.5697,2026-08-27T16:35:29.671138,0.5697,2026-08-27T16:35:29.671138,0.5697,2026-08-27T16:35:29.671138,0.5697,0.3194,trailing,10.78,,,,,,,,,,0.3058,stretch,10.78,,,,,,,0.1214,ema13,52.29,,,,0.7159,0.7159,0.3322,10.67,0.5958,24.83,,,,,,,,,,,,,0.7159252419902362,atr,False,,,,False,,,,,,,,,,,,,2026-08-27T16:10:26,2026-08-27T16:35:22.017774,RUNNER_TRAIL,TAKER_FALLBACK,TAKER,False,
8,1524408225,,LITUSDT,LONG,CLOSED,3.4474,3.4516703,3.453,207.56795400000001,20.0,4151.35908,1204.2,STRONG_BUY,0.2821,0.0834,0.0986,57.17,59.88,15.1818,15.2932,0.1675,0.1677,BULLISH,0.1712,0.0421,25.3764,26.9746,56.3,52.3,33.5,0.2428,59.2,58.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.7169,0.923,66.7,20.0,73.2,-0.1114,4.0,HEALTHY_BULL,HEALTHY_BULL,,-0.0329,25.119706508256673,19.053003625028367,0.6195,0.25,0.0001,0.288,0.3501,0.1818,0.1321,2026-08-27T14:20:30.391749,0.09936816151301928,56600813.2958,40,246.9,,,,,,,,False,1.47,0.0095,1.62,0.0095,3.96,0.0994,4147.18154297594,56600.8132958,False,,0.0315,,,,,,,,,0.7472446344000001,1.8704256188669999,2.6176702532669998,2.524625006732939,0.06081442144804634,0.5719754887741495,-0.1586812380344567,3.4693,3.4474,0.0,0.6979,0.3952,2026-08-27T14:23:24.572619,2026-08-27T14:19:03.480774,0.179,NEVER,1,0.4,,True,0.0385,0.1074,True,2026-08-27T14:25:15.166939,,,1.0,1.0,UNMATCHED,False,,,0,,0.0671,0.5184,False,,,,,3.6517,3.4359,2026-08-27T15:10:00.441216,2026-08-27T14:33:39.800967,5.8632,-0.3966,44.6,8.25,,,5.5151,,5.21,-0.1268,8.61,-0.2486,,,,,,,,,False,MOMENTUM,,,,,,-0.1993,-0.063,-0.0717,0.813,2.5709,2026-08-27T14:23:21.732809,0.19794883100307184,,,,,2026-08-27T14:39:13.516572,0.9697,2026-08-27T14:25:37.342541,0.0443,2026-08-27T14:39:17.143379,1.0132,2026-08-27T14:25:25.144205,0.0733,2026-08-27T14:25:30.236079,0.082,2026-08-27T14:25:25.144205,0.0733,2026-08-27T14:25:25.144205,0.0733,0.322,trailing,5.13,,,,,,,,,,0.3429,stretch,5.13,,,,,,,0.1603,stretch,6.31,,,,2.3864,0.6979,0.2617,5.66,-0.1355,7.13,,,,,,,,,,,,,0.680687550861017,lock,False,,,,False,,,,,,,,,,,,,2026-08-27T14:18:53,2026-08-27T14:25:17.409745,RUNNER_TRAIL,MAKER,TAKER,False,
7,26750141999,,AAVEUSDT,LONG,CLOSED,127.26,128.2507,128.27,180.0729,20.0,3601.458,28.3,VERY_STRONG,0.2262,0.0652,0.0897,57.41,53.35,24.012,25.1244,0.1327,0.1329,BULLISH,0.1074,0.055,30.6417,32.4575,60.3,57.4,35.0,0.2246,60.2,58.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.7832,1.0043,77.8,17.8,61.4,-1.1124,3.0,STRONG_BULL,STRONG_BULL,,-0.0981,25.078111337226645,20.70556521337406,0.4412,0.0611,0.0001,0.0394,0.288,0.3215,0.1394,2026-08-27T14:19:36.683397,,114865718.104,25,2141.3,,,,,,,,False,1.64,-0.605,15.79,0.1491,16.55,0.1491,3602.9205179551873,114865.718104,False,,0.3313,2026-08-27T14:06:56.366528,-0.3458,,,2026-08-27T14:08:11.907407,-0.4714,,,0.6482624400000001,1.6332726645,2.2815351045,25.755274895499706,0.71513467311016,1.1779940279742247,-0.6049530881659689,128.84,127.26,0.0,0.6142,0.4046,2026-08-27T14:42:48.403086,2026-08-27T14:12:29.101844,-0.2726,RECOVERED,1,0.4,,True,0.015,0.0865,True,2026-08-27T14:47:21.559365,,,1.0,1.0,UNMATCHED,False,-0.3457581329561523,,0,,0.035,0.4202,True,,,,,129.15,127.02,2026-08-27T15:13:28.079056,2026-08-27T14:53:48.943164,1.4221,-0.2516,25.93,6.27,,,0.5106,,3.09,0.4242,36.31,0.9428,,,,,,,,,False,MOMENTUM,,,,,,0.5499,0.4949,0.5656,0.8171,1.0921,2026-08-27T14:23:03.859603,0.19619495520980537,2026-08-27T14:42:04.252550,,,,2026-08-27T14:47:57.548301,0.5578,2026-08-27T14:47:56.536908,0.5578,2026-08-27T14:47:57.548301,0.5578,2026-08-27T14:47:56.536908,0.5578,2026-08-27T14:47:57.548301,0.5578,2026-08-27T14:47:54.515931,0.6206,2026-08-27T14:47:55.526268,0.5814,0.2447,trailing,17.51,,,,,,,,,,0.314,stretch,17.4,,,,,,,0.1648,stretch,21.42,,,,0.6757,0.6757,0.2669,17.5,0.7303,43.53,,,,,,,,,,,,,0.6064562430998199,atr,False,,,,False,,,,,,,,,,,,,2026-08-27T14:03:49,2026-08-27T14:47:25.227036,RUNNER_TRAIL,MAKER,TAKER,False,
6,1126225507,,KAIAUSDT,SHORT,CLOSED,0.0323748,0.0321741,0.03223,402.4365701400001,20.0,8048.731402800001,248611.0,STRONG_BUY,0.1677,0.1712,0.0548,71.7,36.05,29.225,28.7086,1.1074,1.1198,BEARISH,0.0869,,13.822108182177908,13.425241155695332,39.44558143974097,37.40672538285885,57.252153477443144,0.1058,51.2,53.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,,,,2.7366,13.6,84.1,84.4,0.5164,2.0,CHOPPY_WEAK,CHOPPY_WEAK,,0.0049,36.923261269040516,17.40048765661474,0.4856,-0.3044,,-0.3212,1.3484,-0.1046,,2026-08-27T04:42:14.481023,,2687491.69637,229,630.6,,,,,,,,False,3.02,0.1102,3.04,0.1102,3.22,0.2957,35279.1779003625,8062.47508911,True,,-0.0012,,,,,,,,,3.6219291312600004,3.5994758287949993,7.221404960055,42.67482273994626,0.5302055765595619,0.6355818105440041,-0.44599243856331416,0.0323748,0.03214,0.0,,,2026-08-27T04:42:25.301299,2026-08-27T04:40:12.584729,,NEVER,1,0.4,,True,-0.1734,0.1702,True,2026-08-27T04:42:25.312956,,,2.0,1.0,SPIKE_FADE,False,,,0,,60.7537,-0.0749,True,,,,,0.03249,0.03185,2026-08-27T04:56:02.884634,2026-08-27T05:21:31.474008,1.531,-0.4458,38.95,13.47,,,1.2221,,,,,,,,,,,,,,,SPIKE_FADE,,,,,,0.7588,0.8824,0.697,-0.3223,0.419,2026-08-27T04:42:25.298972,,,,,,2026-08-27T04:43:34.275376,0.6661,2026-08-27T04:43:31.259411,0.7897,2026-08-27T04:43:34.275376,0.6661,2026-08-27T04:43:31.259411,0.7897,2026-08-27T04:43:33.270041,0.6661,2026-08-27T04:43:32.264847,0.7588,2026-08-27T04:43:36.289221,0.7588,0.3856,trailing,2.96,,,,,,,,,,1.2221,window,,,,,,,,1.2221,window,,,,,62.3895,,0.3575,2.96,0.7897,4.06,,,,,,,,,,,,,,cap,False,,,,False,,,,,,,,,,,,,2026-08-27T04:39:12,2026-08-27T04:42:27.519853,RUNNER_TRAIL,TAKER,TAKER,False,
5,12165860539,,FARTCOINUSDT,LONG,CLOSED,0.19798066,0.1982517,0.1983,1368.3027455547,20.0,27366.054911094,138225.9,STRONG_BUY,0.4199,0.1154,0.1601,59.39,53.94,17.8056,18.8308,0.3216,0.3226,BULLISH,0.1852,0.0774,27.7251,26.6681,65.5,63.9,61.6,0.158,49.9,47.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.5223,0.4243,70.5,18.2,79.4,-1.0251,4.0,HEALTHY_BULL,CHOPPY_WEAK,,0.2276,21.937433942132163,20.056589036351696,0.789,-0.1504,-0.003481,-0.4033,0.5992,0.1511,-0.0839,2026-08-26T19:12:54.626527,-0.28218478360462323,116245908.17248,23,614.0,,,,,,-1.36274585,,False,,,,,,,27327.279400136664,116245.90817248,False,,0.1077,2026-08-26T19:12:54.617840,-0.2822,2026-08-26T19:22:18.067776,-0.888,2026-08-26T19:13:12.567964,-0.4336,2026-08-26T19:22:47.931509,-0.8375,12.3147247099923,12.3315838465635,24.6463085565558,12.818439379444222,0.046840655041760215,0.7780475643428938,-0.938519094238801,0.1997,0.19798066,0.0,0.8684,0.3252,2026-08-26T20:10:57.816004,2026-08-26T19:22:09.332954,-0.6161,ENDED_NEG,1,0.4,,True,0.0244,0.142,True,2026-08-26T20:11:30.702059,,,2.0,1.0,UNMATCHED,False,-0.5851083115896242,,0,,-0.1249,0.6304,True,,,,,0.2,0.1953,2026-08-26T20:55:34.994918,2026-08-26T20:22:43.964778,0.93,-1.444,44.03,11.18,25.02,-0.6358,0.6269,0.0,25.57,-0.6864,,,,,25.02,-0.6358,-0.3326720382687854,2026-08-26T19:17:10.888978,,,False,MOMENTUM,2026-08-26T20:36:34.080891,-0.6358,,,,0.2228,0.2733,0.1218,-0.5853,-0.0802,2026-08-26T20:08:21.164459,0.17220050837289205,,,,,2026-08-26T20:46:38.834674,0.0713,2026-08-26T20:46:38.834674,0.0713,2026-08-26T20:46:40.856249,0.0713,2026-08-26T20:46:38.834674,0.0713,2026-08-26T20:53:42.012530,0.5259,2026-08-26T20:53:43.019128,0.5259,2026-08-26T20:53:42.012530,0.5259,0.4249,ema13,12.77,,,,,,,,,,0.4249,ema13,12.77,,,,,,,0.4249,ema13,12.77,,,,0.6625,0.8684,0.6269,,0.6269,,,,,,,,,,,,,,0.8684151063257101,lock,False,,,,False,,,2026-08-26T19:12:54.779798,-0.2822,2026-08-26T19:30:07.189639,0.1217,,,-0.1812,10.17,-0.1307,6.78,2026-08-26T18:22:26,2026-08-26T20:11:32.917271,RUNNER_TRAIL,TAKER_FALLBACK,TAKER,False,
4,22969664582,,WLDUSDT,SHORT,CLOSED,0.3878,0.3864745,0.3865,665.42602,20.0,13308.5204,34318.0,STRONG_BUY,0.5773,0.1668,0.1984,34.7,38.94,29.7972,28.6737,0.3551,-0.3539,BEARISH,-0.2649,-0.0715,23.8405,23.1401,39.2,41.2,58.2,0.2329,38.0,43.1,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,C1,,-0.7,0.8626,0.7082,11.4,86.4,13.6,1.1235,4.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1343,12.492645089292662,32.44758914928937,0.6061,-0.3777,0.0001,-0.5777,-0.7175,-0.2541,-0.1872,2026-08-26T14:42:20.035450,,117905342.3736,22,1129.1,,,,,,0.0,,False,4.72,-0.0114,5.78,0.2208,6.02,0.2724,13298.317148731876,117905.34237360001,False,,-0.1749,,,,,,,,,2.395533672,5.96836435095,8.36389802295,37.1246109770493,0.27895370680762754,0.4529618359979376,-0.32098091799896883,0.3878,0.3858,0.0,0.6093,-0.5657,2026-08-26T14:42:36.863363,2026-08-26T14:37:19.771605,0.0196,NEVER,1,0.4,,True,-0.0066,-0.0774,True,2026-08-26T14:43:00.624078,,,1.0,1.0,C1,False,,,0,,0.4337,-0.5657,False,,,,,0.387,0.3833,2026-08-26T15:38:16.948571,2026-08-26T14:48:43.317779,1.0974,0.1433,5.67,55.23,,,0.1433,,,,,,,,,,,,,,False,MOMENTUM,2026-08-26T15:38:16.948571,0.1433,,,,0.3754,0.4012,0.9685,0.1433,0.1433,,,,,,,,,,,,,,,,,,,,,0.1433,window,,,,,,,,,,,0.1433,window,,,,,,,,0.1433,window,,,,,,0.6093,0.1433,,0.1433,,,,,,,,,,,,,,0.6093309186058905,cap,False,,,,False,,,,,,,,,,,,,2026-08-26T14:36:33,2026-08-26T14:43:02.992720,RUNNER_TRAIL,MAKER,TAKER,False,
3,26741512411,,AAVEUSDT,SHORT,CLOSED,123.0647,122.6292,122.6,644.8590280000001,20.0,12897.18056,104.8,VERY_STRONG,0.5703,0.1596,0.1848,30.95,36.77,31.6568,30.4615,0.3721,-0.3707,BEARISH,-0.2672,-0.0368,23.071,22.6911,42.8,43.8,57.7,0.2388,39.5,43.1,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,C1,,-0.7,1.063,0.8417,11.4,84.1,12.8,1.1952,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1025,13.049645373288769,36.37613981578801,0.4818,-0.5214,0.0001,-0.8572,-0.7136,-0.1776,-0.1745,2026-08-26T14:35:38.369974,0.09266904725725457,95820296.811,28,2140.3,,,,,,,,False,0.94,-0.2569,0.94,-0.2569,7.0,0.1171,12923.303050831873,95820.29681100001,False,,-0.1482,,,,,,,,,5.803731252,5.7831930719999995,11.586924324,34.05347567600049,0.2640381401002925,0.45036544598085093,-0.25689788785898315,123.0647,122.4,0.0,0.6747,-0.6269,2026-08-26T14:42:15.384851,2026-08-26T14:37:15.532175,0.149,NEVER,1,0.4,,True,0.0238,0.1989,True,2026-08-26T14:42:50.440328,,,1.0,1.0,C1,False,,,0,,0.4865,-0.6269,False,,,,,122.88,122.23,2026-08-26T14:43:55.709770,2026-08-26T14:48:43.317779,0.5883,0.0601,5.84,1.04,,,0.2795,,,,,,,,,,,,,,False,MOMENTUM,2026-08-26T15:38:16.948571,0.2795,,,,0.0926,0.182,0.4501,0.2795,0.2795,,,,,,,,,,,,,,,,,,,,,0.2795,window,,,,,,,,,,,0.2795,window,,,,,,,,0.2795,window,,,,,,0.6747,0.2795,,0.2795,,,,,,,,,,,,,,0.8300178724185105,cap,False,,,,False,,,,,,,,,,,,,2026-08-26T14:34:42,2026-08-26T14:42:53.070057,RUNNER_TRAIL,TAKER_FALLBACK,TAKER,False,
2,61870591415,,1000PEPEUSDT,SHORT,CLOSED,0.003716,0.0036998,0.0036983,648.466154,20.0,12969.32308,3490130.0,STRONG_BUY,0.5059,0.1601,0.166,34.19,39.53,27.6377,26.7294,0.3779,-0.3764,BEARISH,-0.2484,-0.0368,23.071,22.6911,42.8,43.8,57.7,0.2388,39.5,43.1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,W1+W2+W1,,,1.063,0.9055,11.4,84.1,8.4,0.9083,4.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1025,13.972475157611724,32.176537482847415,0.5037,-0.3762,0.0001,-0.6609,-0.7011,-0.1776,-0.1745,2026-08-26T14:35:37.502790,0.09853659849300132,250419114.6100385,15,1209.6,,,,,,0.0,,False,1.37,-0.2299,1.38,-0.2299,8.08,0.2978,12978.050199440624,250419.1146100385,False,,-0.1482,,,,,,,,,2.3344781544,5.8107523382999995,8.1452304927,48.394875507300235,0.37314881593111054,0.6369919268030135,-0.22992115177610448,0.003716,0.00369,0.0,0.736,-0.6031,2026-08-26T14:42:31.484288,2026-08-26T14:37:22.920118,0.0535,NEVER,1,0.4,,True,0.0406,0.0672,True,2026-08-26T14:42:37.459062,,,1.0,1.0,W1+W2+W1,False,,,0,,0.4692,-0.6031,False,,,,,0.00371,0.0036834,2026-08-26T14:43:53.408587,2026-08-26T14:55:19.776024,0.8143,0.0985,12.67,1.23,,,0.2788,,,,,,,,,,,,,,False,MOMENTUM,2026-08-26T15:38:15.926067,0.2788,,,,0.2653,0.2465,0.4375,0.2788,0.2788,2026-08-26T14:42:31.179968,,,,,,,,,,,,,,,,,,,,0.2788,window,,,,,,,,,,,0.2788,window,,,,,,,,0.2788,window,,,,,,0.736,0.2788,,0.2788,,,,,,,,,,,,,,0.7218707229172333,cap,False,,,,False,,,,,,,,,,,,,2026-08-26T14:34:15,2026-08-26T14:42:39.766731,RUNNER_TRAIL,MAKER,TAKER,False,
1,40908398316,,SUIUSDT,SHORT,CLOSED,0.744249,0.7388802,0.7389,639.894126465,20.0,12797.8825293,17195.7,VERY_STRONG,0.3755,0.0971,0.1227,38.1,43.4,31.3134,30.8366,0.2712,-0.2705,BEARISH,-0.161,-0.0392,23.0051,22.6911,42.1,43.8,57.7,0.2375,39.2,43.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,,,,0.8419,0.5068,11.4,84.1,16.9,0.4768,3.0,HEALTHY_BEAR,HEALTHY_BEAR,,-0.1051,13.699488282282237,30.147113211706706,0.499,-0.3731,0.0001,-0.6207,-0.4896,-0.1995,-0.1769,2026-08-26T14:41:12.217048,0.09133810727324386,233083829.69243,16,1211.6,,,,,,0.0,,False,7.21,-0.0431,8.7,0.0779,9.76,0.293,12800.52833840625,233083.82969243,False,,-0.1482,,,,,,,,,5.759047138185,5.717503014813,11.476550152998001,80.84372400700308,0.6316960936460865,0.9247675106046535,-0.4329158722416785,0.744249,0.7367,0.0,1.0091,-0.4426,2026-08-26T14:42:20.717405,2026-08-26T14:37:15.671282,-0.165,RECOVERED,1,0.4,,True,-0.0027,0.0203,True,2026-08-26T14:42:20.768717,,,1.0,1.0,PAIR_35-40_30-35,False,,,0,,0.7111,-0.4426,True,,,,,0.7402,0.7319,2026-08-26T14:43:52.384182,2026-08-26T14:48:42.291045,1.5693,0.454,6.24,1.41,,,1.0318,,,,,,,,,,,,,,False,MOMENTUM,2026-08-26T15:38:16.948571,1.0318,,,,0.5481,0.6287,0.8437,1.0318,1.0318,2026-08-26T14:42:19.129035,,,,,,,,,,,,,,,,,,,,1.0318,window,,,,,,,,,,,1.0318,window,,,,,,,,1.0318,window,,,,,0.4374,1.0091,1.0318,,1.0318,,,,,,,,,,,,,,0.7083858117985615,atr,False,,,,False,,,,,,,,,,,,,2026-08-26T14:32:30,2026-08-26T14:42:28.036729,RUNNER_TRAIL,TAKER_FALLBACK,TAKER,False,
