id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,entry_pair_rank,entry_desired_notional,entry_liquidity_cap_notional,liquidity_capped,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,entry_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,phantom_ema13_cross_pnl,phantom_ema13_cross_at,phantom_trail_suppress_pnl,phantom_trail_suppress_at,entry_gap_expand_marginal,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,shadow_tight_pnl,shadow_tight_reason,shadow_tight_min,shadow_wide_pnl,shadow_wide_reason,shadow_wide_min,shadow_tierA_pnl,shadow_tierA_reason,shadow_tierA_min,shadow_tierB_pnl,shadow_tierB_reason,shadow_tierB_min,shadow_strpk_pnl,shadow_strpk_reason,shadow_strpk_min,shadow_strpk04_pnl,shadow_strpk04_reason,shadow_strpk04_min,shadow_strpk03_pnl,shadow_strpk03_reason,shadow_strpk03_min,shadow_stren_pnl,shadow_stren_reason,shadow_stren_min,shadow_strpk_signed_pnl,shadow_strpk_signed_reason,shadow_strpk_signed_min,shadow_peak_stretch,runner_peak_stretch,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
8,,ENJUSDT,LONG,CLOSED,0.03308,0.03271,0.03272,1047.983745614834,20.0,20959.674912296683,633605.6503112662,STRONG_BUY,0.485,0.1306,0.1541,55.33,58.64,16.6403,17.6916,0.0807,0.0808,BULLISH,0.2663,0.0223,22.0828,22.5167,59.7,56.7,46.4,0.08,52.1,49.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.7506,0.8615,58.1,32.6,73.2,-1.0512,5.0,HEALTHY_BULL,HEALTHY_BULL,,-0.0304,22.788521492857722,24.185636565386233,1.2443,0.6292,-2.3e-05,0.945,0.3659,0.0971,0.0117,,,44885768.15908,45,20959.674912296683,44885.76815908,False,,-0.0165,2026-06-13T04:50:24.198475,-0.513,,,2026-06-13T04:50:29.491045,-0.6943,,,9.431853710533508,9.326358369756683,18.758212080290193,-253.19230269545574,-1.2079972793228397,0.0,-1.2079972793228397,0.03309,0.03308,0.0,,,,2026-06-13T04:50:56.806330,-1.0189,ENDED_NEG,1,0.45,,True,,0.0302,False,,,,2.0,1.0,UNMATCHED,False,-0.5130259975816241,,0,,-1.0189,0.5475,True,0.03334,0.03234,2026-06-13T05:34:31.103557,2026-06-13T04:58:05.789024,0.696,-2.327,43.57,7.14,0.16,-1.2387,0.3332,0.0,0.01,-1.1783,6.86,-1.9945,,,0.16,-1.2387,,,,,True,2026-06-13T04:56:08.136141,-1.6015,,,,-1.2085,-1.2387,-1.5108,-0.6946,-0.7853,,,,,,,2026-06-13T05:11:14.591245,0.0309,2026-06-13T05:34:49.182185,0.2123,2026-06-13T05:35:39.448509,0.2728,2026-06-13T05:34:49.182185,0.2123,,,2026-06-13T05:34:49.182185,0.2123,2026-06-13T05:10:23.340954,0.0611,0.4541,ema13,19.16,0.4541,ema13,19.16,0.4541,ema13,19.16,0.4541,ema13,19.16,0.4541,ema13,19.16,0.4541,ema13,19.16,0.4541,ema13,19.16,0.4541,ema13,19.16,0.4541,ema13,19.16,1.1906,0.1109505526949615,False,,,,False,,,,,,,,,-0.09,0.02,,,2026-06-13T04:49:59,2026-06-13T04:50:56.808815,STOP_LOSS_WIDE L1,TAKER_FALLBACK,TAKER,True,
7,,PUMPUSDT,LONG,CLOSED,0.001521,0.001524,0.001525,500.0,20.0,10000.0,6574621.959237344,STRONG_BUY,0.3558,0.089,0.1317,58.74,59.43,16.0544,17.0296,0.055,0.055,BULLISH,0.1608,0.0217,22.8776,21.6999,59.1,62.0,60.9,0.0865,53.2,52.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.5823,0.4619,65.1,25.6,84.2,-0.9752,5.0,HEALTHY_BULL,BULL_EXHAUSTED,,0.0582,15.107722267955692,14.120596921084314,0.4418,0.1559,-0.000731,0.2311,0.276,0.0426,0.031,,,50467930.124742,42,10000.0,50467.930124742,False,,0.097,,,,,,,,,4.5,4.50887573964497,9.00887573964497,10.714990138066828,0.10714990138066828,0.5014497041420047,-0.3528665351742339,0.00153,0.001521,0.0,,,,,,,2,0.9,,,,0.1317,False,,,,2.0,1.0,UNMATCHED,True,,0.10714990138066828,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7165925731120624,False,,,,False,,,,,,,,,-0.09,7.81,-0.2871,8.93,2026-06-13T01:31:59,2026-06-13T01:43:02.279254,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
6,,TAOUSDT,LONG,CLOSED,213.86,214.36,214.41,1000.0,20.0,20000.0,93.51912466099317,STRONG_BUY,0.2835,0.0715,0.1048,62.97,57.69,18.6848,18.0741,0.1086,0.1087,BULLISH,0.1147,0.0217,22.8776,21.6999,59.1,62.0,60.9,0.0865,53.2,52.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.5823,0.6585,65.1,25.6,81.1,0.6107,3.0,HEALTHY_BULL,BULL_EXHAUSTED,,0.0582,24.59701167504509,14.25353711555022,0.2793,0.1718,-0.000731,0.2555,0.2852,0.0426,0.031,2026-06-13T01:42:12.198052,,59159058.56,35,20000.0,59159.058560000005,False,,0.0915,,,,,,,,,9.0,9.021041803048725,18.021041803048725,28.73852052744786,0.1436926026372393,0.4989053586458388,-0.11804311231646976,215.12,213.86,0.0,0.6075,0.2064,2026-06-13T01:42:14.508385,2026-06-13T01:31:43.711932,0.146,RECOVERED,2,0.9,,True,,0.0655,False,,,,2.0,1.0,UNMATCHED,False,,0.1436926026372393,0,,0.1385,0.3229,True,215.01,213.7,2026-06-13T02:04:23.850256,2026-06-13T02:25:45.197529,0.4477,-0.1648,19.93,41.29,36.61,-0.0292,-0.0806,0.4477,20.99,0.2326,6.5,0.1531,,,36.61,-0.0292,,,,,False,2026-06-13T02:26:05.323782,-0.1648,,,,0.2467,0.2467,0.2373,0.3075,0.055,,,,,,,,,,,,,2026-06-13T01:44:29.226676,0.1625,,,2026-06-13T01:44:28.220298,0.1438,2026-06-13T01:44:28.220298,0.1438,0.2489,trailing,11.99,-0.1011,trailing,44.44,0.2489,trailing,11.99,0.1989,trailing,12.48,0.34,stretch,11.44,0.2839,stretch,11.86,0.2231,stretch,12.45,-0.0292,ema13,49.35,0.1906,ema5_cross,28.88,0.6075,0.5936372251105898,False,,,,False,,,,,,,,,,,-0.076,9.26,2026-06-13T01:31:39,2026-06-13T01:44:27.677697,TRAILING_STOP L2,TAKER_FALLBACK,TAKER,True,
5,,FETUSDT,LONG,CLOSED,0.187,0.1875,0.1876,1000.0,20.0,20000.0,106951.87165775402,VERY_STRONG,0.3901,0.1308,0.1567,58.56,64.36,25.4452,26.7649,0.0109,0.0109,BULLISH,0.1958,0.0356,19.1249,17.4008,62.3,64.0,56.0,0.0895,53.2,52.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,,0.8515,0.7088,67.4,23.3,70.6,-1.3197,4.0,HEALTHY_BULL,HEALTHY_BULL,,0.0492,21.0157733508762,17.79828829117914,0.3993,-0.0613,-0.000731,-0.0429,0.2987,0.0603,0.0314,2026-06-13T01:22:08.435527,0.09735561497325923,35745514.6744,49,20000.0,35745.5146744,False,,0.0582,,,,,,,,,3.6,9.024064171122996,12.624064171122996,40.85187165775406,0.20425935828877032,0.4715187165775406,-0.22335561497325926,0.188,0.187,0.0,0.2298,0.3137,2026-06-13T01:31:57.172020,2026-06-13T01:19:33.626605,-0.2033,ENDED_NEG,1,0.45,,True,,-0.0534,False,,,,2.0,1.0,UNMATCHED,False,,0.20425935828877032,0,,-0.0185,0.296,True,0.1891,0.1873,2026-06-13T01:42:40.998528,2026-06-13T02:05:59.546298,1.06,0.0974,10.57,33.88,43.4,0.1509,0.3113,1.06,33.35,0.3648,,,,,43.4,0.1509,,,,,True,,,,,,0.4183,0.3113,0.5252,0.8996,0.6857,,,,,,,2026-06-13T01:38:18.846050,0.4183,2026-06-13T01:38:18.846050,0.4183,2026-06-13T01:43:37.731608,0.8461,2026-06-13T01:39:00.309132,0.4183,2026-06-13T01:39:03.360050,0.4183,2026-06-13T01:39:01.320708,0.4183,2026-06-13T01:44:15.115071,0.7926,0.2215,trailing,13.06,0.46,trailing,46.09,0.2215,trailing,13.06,0.3857,trailing,21.26,0.3112,stretch,12.91,0.3112,stretch,12.91,0.2577,stretch,12.91,0.2043,stretch,13.06,0.2043,ema5_cross,13.06,0.7185,0.3269182065402648,False,,,,False,,,2026-06-13T01:20:43.134044,-0.1165,2026-06-13T01:21:50.632231,0.0439,,,,,,,2026-06-13T01:19:02,2026-06-13T01:32:06.250847,TRAILING_STOP L1,MAKER,TAKER,True,
