ts,pair,ms,gate,covered
2026-08-20 02:33:16,ASTERUSDT,1787193196000,DEADBAND5M,False
2026-08-20 02:35:04,EDENUSDT,1787193304000,DEADBAND5M,False
2026-08-20 02:45:03,WLFIUSDT,1787193903000,DEADBAND5M,False
2026-08-20 02:54:32,HEMIUSDT,1787194472000,DEADBAND5M,False
2026-08-20 03:01:21,GPSUSDT,1787194881000,DEADBAND5M,False
2026-08-20 03:06:29,LITUSDT,1787195189000,DEADBAND5M,False
2026-08-20 03:16:13,ACEUSDT,1787195773000,DEADBAND5M,False
2026-08-20 03:34:48,TREEUSDT,1787196888000,DEADBAND5M,False
2026-08-20 03:36:27,MUBARAKUSDT,1787196987000,DEADBAND5M,False
2026-08-20 03:36:43,KAITOUSDT,1787197003000,DEADBAND5M,False
2026-08-20 03:49:39,GPSUSDT,1787197779000,DEADBAND5M,False
2026-08-20 03:51:12,1000PEPEUSDT,1787197872000,DEADBAND5M,False
2026-08-20 03:56:35,INJUSDT,1787198195000,DEADBAND5M,False
2026-08-20 03:57:49,ETHUSDT,1787198269000,DEADBAND5M,False
2026-08-20 03:58:06,LITUSDT,1787198286000,DEADBAND5M,False
2026-08-20 04:01:27,XAUTUSDT,1787198487000,DEADBAND5M,False
2026-08-20 04:11:20,BCHUSDT,1787199080000,1H_SLOPEMAX,False
2026-08-20 04:11:29,ASTERUSDT,1787199089000,1H_SLOPEMAX,False
2026-08-20 04:16:11,HYPEUSDT,1787199371000,1H_SLOPEMAX,False
2026-08-20 04:18:09,LTCUSDT,1787199489000,1H_SLOPEMAX,False
2026-08-20 04:18:18,PENGUUSDT,1787199498000,1H_SLOPEMAX,False
2026-08-20 04:21:19,WLDUSDT,1787199679000,1H_SLOPEMAX,False
2026-08-20 04:21:27,MUBARAKUSDT,1787199687000,1H_SLOPEMAX,False
2026-08-20 04:22:52,BTCUSDT,1787199772000,1H_SLOPEMAX,False
2026-08-20 04:23:18,1000SHIBUSDT,1787199798000,1H_SLOPEMAX,False
2026-08-20 04:26:38,TUTUSDT,1787199998000,1H_SLOPEMAX,False
2026-08-20 04:36:17,1000PEPEUSDT,1787200577000,DEADBAND5M,False
2026-08-20 04:46:42,INJUSDT,1787201202000,1H_SLOPEMAX,False
2026-08-20 04:54:38,XRPUSDT,1787201678000,1H_SLOPEMAX,False
2026-08-20 04:56:19,ACEUSDT,1787201779000,1H_SLOPEMAX,False
2026-08-20 04:57:58,SOLUSDT,1787201878000,1H_SLOPEMAX,False
2026-08-20 05:03:09,AVAXUSDT,1787202189000,1H_SLOPEMAX,False
2026-08-20 05:03:32,WLFIUSDT,1787202212000,1H_SLOPEMAX,False
2026-08-20 05:03:32,ETCUSDT,1787202212000,1H_SLOPEMAX,False
2026-08-20 05:04:49,ADAUSDT,1787202289000,1H_SLOPEMAX,False
2026-08-20 05:04:57,ONDOUSDT,1787202297000,1H_SLOPEMAX,False
2026-08-20 05:04:58,LTCUSDT,1787202298000,1H_SLOPEMAX,False
2026-08-20 05:06:31,BCHUSDT,1787202391000,1H_SLOPEMAX,False
2026-08-20 05:06:37,AAVEUSDT,1787202397000,1H_SLOPEMAX,False
2026-08-20 05:08:27,1000SHIBUSDT,1787202507000,1H_SLOPEMAX,False
2026-08-20 05:11:20,BTCUSDT,1787202680000,1H_SLOPEMAX,False
2026-08-20 05:13:28,PENGUUSDT,1787202808000,1H_SLOPEMAX,False
2026-08-20 05:14:57,TAOUSDT,1787202897000,1H_SLOPEMAX,False
2026-08-20 05:16:31,UNIUSDT,1787202991000,1H_SLOPEMAX,False
2026-08-20 05:23:21,XLMUSDT,1787203401000,1H_SLOPEMAX,False
2026-08-20 05:23:27,DOTUSDT,1787203407000,1H_SLOPEMAX,False
2026-08-20 05:29:51,WLDUSDT,1787203791000,1H_SLOPEMAX,True
2026-08-20 05:29:52,NEARUSDT,1787203792000,1H_SLOPEMAX,True
2026-08-20 05:31:41,TREEUSDT,1787203901000,1H_SLOPEMAX,True
2026-08-20 05:31:49,INJUSDT,1787203909000,1H_SLOPEMAX,True
2026-08-20 05:43:05,SOLUSDT,1787204585000,1H_SLOPEMAX,True
2026-08-20 05:43:07,ACEUSDT,1787204587000,1H_SLOPEMAX,True
2026-08-20 05:49:54,ADAUSDT,1787204994000,DEADBAND5M,False
2026-08-20 05:50:03,ONDOUSDT,1787205003000,DEADBAND5M,False
2026-08-20 06:00:02,TAOUSDT,1787205602000,DEADBAND5M,False
2026-08-20 06:20:14,FARTCOINUSDT,1787206814000,1H_SLOPEMAX,False
2026-08-20 06:26:30,LINKUSDT,1787207190000,1H_SLOPEMAX,True
2026-08-20 06:26:36,WLDUSDT,1787207196000,1H_SLOPEMAX,True
2026-08-20 06:26:39,MUBARAKUSDT,1787207199000,1H_SLOPEMAX,True
2026-08-20 06:26:55,1000SHIBUSDT,1787207215000,1H_SLOPEMAX,True
2026-08-20 06:27:01,PENGUUSDT,1787207221000,1H_SLOPEMAX,True
2026-08-20 06:30:07,TREEUSDT,1787207407000,1H_SLOPEMAX,True
2026-08-20 06:30:07,XAUTUSDT,1787207407000,1H_SLOPEMAX,True
2026-08-20 06:31:30,XRPUSDT,1787207490000,1H_SLOPEMAX,True
2026-08-20 06:31:31,1000PEPEUSDT,1787207491000,1H_SLOPEMAX,True
2026-08-20 06:33:18,PUMPUSDT,1787207598000,1H_SLOPEMAX,True
2026-08-20 06:34:49,SOLUSDT,1787207689000,1H_SLOPEMAX,True
2026-08-20 06:35:07,ONDOUSDT,1787207707000,1H_SLOPEMAX,False
2026-08-20 06:35:08,LTCUSDT,1787207708000,1H_SLOPEMAX,False
2026-08-20 06:36:30,DOGEUSDT,1787207790000,1H_SLOPEMAX,False
2026-08-20 06:36:39,AVAXUSDT,1787207799000,1H_SLOPEMAX,False
2026-08-20 06:36:48,XLMUSDT,1787207808000,1H_SLOPEMAX,False
2026-08-20 06:38:18,PAXGUSDT,1787207898000,1H_SLOPEMAX,False
2026-08-20 06:40:13,ARBUSDT,1787208013000,1H_SLOPEMAX,True
2026-08-20 06:41:37,SUIUSDT,1787208097000,1H_SLOPEMAX,True
2026-08-20 06:41:38,ADAUSDT,1787208098000,1H_SLOPEMAX,True
2026-08-20 06:43:10,ETHUSDT,1787208190000,1H_SLOPEMAX,True
2026-08-20 06:43:20,UNIUSDT,1787208200000,1H_SLOPEMAX,True
2026-08-20 06:45:06,TAOUSDT,1787208306000,CROSS70,True
2026-08-20 06:53:25,NEARUSDT,1787208805000,1H_SLOPEMAX,True
2026-08-20 07:02:01,DOTUSDT,1787209321000,1H_SLOPEMAX,True
2026-08-20 07:11:46,WLDUSDT,1787209906000,CROSS,True
2026-08-20 07:16:44,1000PEPEUSDT,1787210204000,1H_SLOPEMAX,False
2026-08-20 07:18:32,BCHUSDT,1787210312000,1H_SLOPEMAX,False
2026-08-20 07:21:44,DOGEUSDT,1787210504000,DEADBAND5M,False
2026-08-20 07:21:44,LINKUSDT,1787210504000,DEADBAND5M,False
2026-08-20 07:25:28,ARBUSDT,1787210728000,DEADBAND5M,True
2026-08-20 07:35:22,AAVEUSDT,1787211322000,DEADBAND5M,False
2026-08-20 07:40:15,PUMPUSDT,1787211615000,DEADBAND5M,False
2026-08-20 07:57:00,WLDUSDT,1787212620000,1H_SLOPEMAX,True
2026-08-20 08:05:25,NEARUSDT,1787213125000,CROSS70,False
2026-08-20 08:10:16,ETHUSDT,1787213416000,CROSS70,True
2026-08-20 08:15:20,HYPEUSDT,1787213720000,CROSS70,True
2026-08-20 08:20:40,ONDOUSDT,1787214040000,CROSS70,True
2026-08-20 08:22:14,TAOUSDT,1787214134000,CROSS70,True
2026-08-20 08:22:20,MUBARAKUSDT,1787214140000,CROSS70,True
2026-08-20 08:25:28,HEMIUSDT,1787214328000,ADX>40,True
2026-08-20 08:25:35,PAXGUSDT,1787214335000,ADX>40,True
2026-08-20 08:25:58,SKYAIUSDT,1787214358000,ADX>40,True
2026-08-20 08:27:25,XAUTUSDT,1787214445000,ADX>40,True
2026-08-20 09:07:59,MUBARAKUSDT,1787216879000,ADX>40,True
2026-08-20 09:18:25,SKYAIUSDT,1787217505000,ADX>40,True
2026-08-20 09:50:14,HYPEUSDT,1787219414000,ADX>40,True
2026-08-20 10:00:43,MUBARAKUSDT,1787220043000,ADX>40,True
2026-08-20 10:14:26,TUTUSDT,1787220866000,ADX>40,True
2026-08-20 10:15:45,SUIUSDT,1787220945000,ADX>40,True
2026-08-20 10:17:35,NEARUSDT,1787221055000,ADX>40,True
2026-08-20 10:17:43,ONDOUSDT,1787221063000,ADX>40,True
2026-08-20 10:17:50,DOTUSDT,1787221070000,ADX>40,True
2026-08-20 10:20:57,WLDUSDT,1787221257000,ADX>40,True
2026-08-20 10:25:55,ETHUSDT,1787221555000,ADX>40,True
2026-08-20 10:26:05,BCHUSDT,1787221565000,ADX>40,True
2026-08-20 10:31:19,LTCUSDT,1787221879000,ADX>40,True
2026-08-20 10:31:27,FARTCOINUSDT,1787221887000,ADX>40,True
2026-08-20 10:32:44,LINKUSDT,1787221964000,ADX>40,True
2026-08-20 10:38:09,TREEUSDT,1787222289000,ADX>40,True
2026-08-20 10:50:11,REDUSDT,1787223011000,ADX>40,True
2026-08-20 10:51:45,TAOUSDT,1787223105000,ADX>40,True
2026-08-20 10:51:45,MUBARAKUSDT,1787223105000,ADX>40,True
2026-08-20 11:01:44,1000PEPEUSDT,1787223704000,ADX>40,True
2026-08-20 11:03:43,ONDOUSDT,1787223823000,ADX>40,True
2026-08-20 11:05:40,XMRUSDT,1787223940000,ADX>40,True
2026-08-20 11:11:57,ETHUSDT,1787224317000,ADX>40,True
2026-08-20 11:15:30,ADAUSDT,1787224530000,ADX>40,True
2026-08-20 11:15:49,WLFIUSDT,1787224549000,ADX>40,True
2026-08-20 11:17:22,ASTERUSDT,1787224642000,ADX>40,True
2026-08-20 11:17:32,FARTCOINUSDT,1787224652000,ADX>40,True
2026-08-20 11:18:49,LINKUSDT,1787224729000,ADX>40,True
2026-08-20 11:26:05,BIOUSDT,1787225165000,ADX>40,True
2026-08-20 11:35:56,SOLUSDT,1787225756000,ADX>40,True
2026-08-20 11:36:21,ARBUSDT,1787225781000,ADX>40,True
2026-08-20 11:37:48,TAOUSDT,1787225868000,ADX>40,True
2026-08-20 11:39:31,AVAXUSDT,1787225971000,ADX>40,True
2026-08-20 11:41:20,MUBARAKUSDT,1787226080000,ADX>40,True
2026-08-20 11:41:22,LTCUSDT,1787226082000,ADX>40,True
2026-08-20 11:41:29,1000SHIBUSDT,1787226089000,ADX>40,True
2026-08-20 11:46:12,HYPEUSDT,1787226372000,ADX>40,True
2026-08-20 11:46:28,NEARUSDT,1787226388000,ADX>40,True
2026-08-20 11:48:21,TUTUSDT,1787226501000,ADX>40,True
2026-08-20 11:49:47,UNIUSDT,1787226587000,ADX>40,True
2026-08-20 11:51:23,1000PEPEUSDT,1787226683000,ADX>40,True
2026-08-20 11:51:40,ONDOUSDT,1787226700000,ADX>40,True
2026-08-20 11:51:40,AAVEUSDT,1787226700000,ADX>40,True
2026-08-20 11:51:56,XMRUSDT,1787226716000,ADX>40,True
2026-08-20 12:02:12,WLFIUSDT,1787227332000,ADX>40,False
2026-08-20 12:03:24,SUIUSDT,1787227404000,ADX>40,False
2026-08-20 12:48:50,WLFIUSDT,1787230130000,DEADBAND5M,False
2026-08-20 12:53:44,BCHUSDT,1787230424000,DEADBAND5M,True
2026-08-20 12:55:15,DOGEUSDT,1787230515000,DEADBAND5M,True
2026-08-20 13:02:25,LTCUSDT,1787230945000,1H_SLOPEMAX,True
2026-08-20 13:05:35,ETHUSDT,1787231135000,1H_SLOPEMAX,True
2026-08-20 13:05:45,AVAXUSDT,1787231145000,1H_SLOPEMAX,True
2026-08-20 13:05:52,ONDOUSDT,1787231152000,1H_SLOPEMAX,True
2026-08-20 13:10:49,SOLUSDT,1787231449000,1H_SLOPEMAX,False
2026-08-20 13:10:49,HYPEUSDT,1787231449000,1H_SLOPEMAX,False
2026-08-20 13:11:17,XAUTUSDT,1787231477000,1H_SLOPEMAX,False
2026-08-20 13:12:43,ADAUSDT,1787231563000,1H_SLOPEMAX,False
2026-08-20 13:16:10,PUMPUSDT,1787231770000,1H_SLOPEMAX,False
2026-08-20 13:16:19,UNIUSDT,1787231779000,1H_SLOPEMAX,False
2026-08-20 13:16:29,FARTCOINUSDT,1787231789000,1H_SLOPEMAX,False
2026-08-20 13:20:19,BTCUSDT,1787232019000,1H_SLOPEMAX,False
2026-08-20 13:25:40,LITUSDT,1787232340000,1H_SLOPEMAX,False
2026-08-20 13:27:31,ASTERUSDT,1787232451000,1H_SLOPEMAX,False
2026-08-20 13:29:00,SUIUSDT,1787232540000,1H_SLOPEMAX,False
2026-08-20 13:30:43,1000PEPEUSDT,1787232643000,DEADBAND5M,False
2026-08-20 13:39:36,BCHUSDT,1787233176000,DEADBAND5M,False
2026-08-20 13:44:32,DOGEUSDT,1787233472000,DEADBAND5M,False
2026-08-20 13:51:37,AVAXUSDT,1787233897000,DEADBAND5M,False
2026-08-20 13:51:38,PAXGUSDT,1787233898000,DEADBAND5M,False
2026-08-20 13:57:07,XAUTUSDT,1787234227000,DEADBAND5M,False
2026-08-20 14:14:02,LINKUSDT,1787235242000,DEADBAND5M,False
2026-08-20 14:14:08,SUIUSDT,1787235248000,DEADBAND5M,False
2026-08-20 14:14:16,ASTERUSDT,1787235256000,DEADBAND5M,False
2026-08-20 14:15:44,HYPEUSDT,1787235344000,DEADBAND5M,False
2026-08-20 14:16:01,ONDOUSDT,1787235361000,DEADBAND5M,False
2026-08-20 14:16:02,XLMUSDT,1787235362000,DEADBAND5M,False
2026-08-20 14:16:10,DOTUSDT,1787235370000,DEADBAND5M,False
2026-08-20 14:16:16,WLFIUSDT,1787235376000,DEADBAND5M,False
2026-08-20 14:17:52,TRXUSDT,1787235472000,DEADBAND5M,False
2026-08-20 14:21:21,LTCUSDT,1787235681000,DEADBAND5M,False
2026-08-20 14:30:55,DOGEUSDT,1787236255000,DEADBAND5M,False
2026-08-20 14:41:46,ORDIUSDT,1787236906000,DEADBAND5M,False
2026-08-20 14:43:14,LITUSDT,1787236994000,DEADBAND5M,False
2026-08-20 14:50:53,BCHUSDT,1787237453000,DEADBAND5M,False
2026-08-20 14:56:22,FARTCOINUSDT,1787237782000,DEADBAND5M,False
2026-08-20 15:01:20,ASTERUSDT,1787238080000,1H_SLOPEMAX,False
2026-08-20 15:01:27,GPSUSDT,1787238087000,1H_SLOPEMAX,False
2026-08-20 15:01:28,ARBUSDT,1787238088000,1H_SLOPEMAX,False
2026-08-20 15:01:30,WLFIUSDT,1787238090000,1H_SLOPEMAX,False
2026-08-20 15:01:36,TUTUSDT,1787238096000,1H_SLOPEMAX,False
2026-08-20 15:06:17,BTCUSDT,1787238377000,1H_SLOPEMAX,True
2026-08-20 15:06:17,ETHUSDT,1787238377000,1H_SLOPEMAX,True
2026-08-20 15:06:18,SOLUSDT,1787238378000,1H_SLOPEMAX,True
2026-08-20 15:06:18,HYPEUSDT,1787238378000,1H_SLOPEMAX,True
2026-08-20 15:06:26,WLDUSDT,1787238386000,1H_SLOPEMAX,True
2026-08-20 15:06:28,TAOUSDT,1787238388000,1H_SLOPEMAX,True
2026-08-20 15:06:36,MUBARAKUSDT,1787238396000,1H_SLOPEMAX,True
2026-08-20 15:06:36,XLMUSDT,1787238396000,1H_SLOPEMAX,True
2026-08-20 15:06:44,1000SHIBUSDT,1787238404000,1H_SLOPEMAX,True
2026-08-20 15:06:45,BIOUSDT,1787238405000,1H_SLOPEMAX,True
2026-08-20 15:08:04,1000PEPEUSDT,1787238484000,1H_SLOPEMAX,True
2026-08-20 15:08:19,ONDOUSDT,1787238499000,1H_SLOPEMAX,True
2026-08-20 15:08:28,DOTUSDT,1787238508000,1H_SLOPEMAX,True
2026-08-20 15:09:55,ADAUSDT,1787238595000,1H_SLOPEMAX,True
2026-08-20 15:10:05,LTCUSDT,1787238605000,1H_SLOPEMAX,True
2026-08-20 15:11:47,UNIUSDT,1787238707000,1H_SLOPEMAX,True
2026-08-20 17:01:29,SOLUSDT,1787245289000,1H_SLOPEMAX,True
2026-08-20 17:01:46,ASTERUSDT,1787245306000,1H_SLOPEMAX,True
2026-08-20 17:01:48,REDUSDT,1787245308000,1H_SLOPEMAX,True
2026-08-20 17:01:56,INJUSDT,1787245316000,1H_SLOPEMAX,True
2026-08-20 17:03:29,ONDOUSDT,1787245409000,1H_SLOPEMAX,True
2026-08-20 17:03:29,AAVEUSDT,1787245409000,1H_SLOPEMAX,True
2026-08-20 17:12:03,TRXUSDT,1787245923000,1H_SLOPEMAX,True
2026-08-20 17:22:03,BTCUSDT,1787246523000,1H_SLOPEMAX,True
2026-08-20 17:22:28,ORDIUSDT,1787246548000,1H_SLOPEMAX,True
2026-08-20 17:25:30,PUMPUSDT,1787246730000,1H_SLOPEMAX,True
2026-08-20 17:31:03,1000SHIBUSDT,1787247063000,1H_SLOPEMAX,True
2026-08-20 17:31:04,GPSUSDT,1787247064000,1H_SLOPEMAX,True
2026-08-20 17:36:09,PENGUUSDT,1787247369000,1H_SLOPEMAX,True
2026-08-20 17:37:51,LTCUSDT,1787247471000,1H_SLOPEMAX,True
2026-08-20 17:44:25,HYPEUSDT,1787247865000,1H_SLOPEMAX,True
2026-08-20 17:47:50,SOLUSDT,1787248070000,1H_SLOPEMAX,True
2026-08-20 17:48:17,AVAAIUSDT,1787248097000,1H_SLOPEMAX,True
2026-08-20 17:49:49,AAVEUSDT,1787248189000,1H_SLOPEMAX,True
2026-08-20 17:56:31,PAXGUSDT,1787248591000,1H_SLOPEMAX,True
2026-08-20 17:56:38,ASTERUSDT,1787248598000,1H_SLOPEMAX,True
2026-08-20 18:02:03,XAUTUSDT,1787248923000,1H_SLOPEMAX,False
2026-08-20 19:02:12,SKYAIUSDT,1787252532000,DEADBAND5M,False
2026-08-20 19:05:07,PUMPUSDT,1787252707000,DEADBAND5M,False
2026-08-20 19:10:37,REDUSDT,1787253037000,DEADBAND5M,False
2026-08-20 19:15:48,INJUSDT,1787253348000,DEADBAND5M,False
2026-08-20 19:20:39,PAXGUSDT,1787253639000,ADX<15,False
2026-08-20 19:23:54,SOLUSDT,1787253834000,ADX<15,False
2026-08-20 19:25:38,HYPEUSDT,1787253938000,ADX<15,False
2026-08-20 19:36:27,WLFIUSDT,1787254587000,ADX<15,False
2026-08-20 19:41:34,XMRUSDT,1787254894000,ADX<15,False
2026-08-20 19:42:44,ETHUSDT,1787254964000,ADX<15,False
2026-08-20 19:55:12,ARBUSDT,1787255712000,ADX<15,False
2026-08-20 20:06:55,1000PEPEUSDT,1787256415000,ADX<15,False
2026-08-20 20:12:04,HYPEUSDT,1787256724000,ADX<15,False
2026-08-20 20:12:22,PENGUUSDT,1787256742000,ADX<15,False
2026-08-20 20:14:13,FARTCOINUSDT,1787256853000,ADX<15,False
2026-08-20 20:14:13,INJUSDT,1787256853000,ADX<15,False
2026-08-20 20:15:45,ASTERUSDT,1787256945000,ADX<15,False
2026-08-20 20:15:46,HEMIUSDT,1787256946000,ADX<15,False
2026-08-20 20:15:48,TRXUSDT,1787256948000,ADX<15,False
2026-08-20 20:17:38,DOTUSDT,1787257058000,ADX<15,False
2026-08-20 20:19:13,AAVEUSDT,1787257153000,ADX<15,False
2026-08-20 20:19:19,REDUSDT,1787257159000,ADX<15,False
2026-08-20 20:20:45,ADAUSDT,1787257245000,ADX<15,False
2026-08-20 20:20:47,NEARUSDT,1787257247000,ADX<15,False
2026-08-20 20:31:04,LITUSDT,1787257864000,1H_SLOPEMAX,False
2026-08-20 20:31:19,NEIROUSDT,1787257879000,1H_SLOPEMAX,False
2026-08-20 20:33:04,WLFIUSDT,1787257984000,1H_SLOPEMAX,False
2026-08-20 20:36:13,TAOUSDT,1787258173000,1H_SLOPEMAX,False
2026-08-20 20:38:02,XLMUSDT,1787258282000,1H_SLOPEMAX,False
2026-08-20 20:39:28,BTCUSDT,1787258368000,1H_SLOPEMAX,False
2026-08-20 20:41:39,ARBUSDT,1787258499000,1H_SLOPEMAX,False
2026-08-20 20:46:29,SUIUSDT,1787258789000,DEADBAND5M,False
