id,binance_order_id,pair,direction,status,entry_price,exit_price,current_price,investment,leverage,notional_value,quantity,confidence,entry_gap,entry_ema_gap_5_8,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_macro_trend,entry_ema20_slope,entry_btc_ema20_slope,entry_btc_adx,entry_btc_adx_prev,entry_btc_rsi,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev,entry_pattern_c1_match,entry_pattern_c2_match,entry_pattern_c3_match,entry_pattern_c4_match,entry_pattern_c5_match,entry_pattern_c6_match,entry_pattern_c7_match,entry_pattern_c8_match,entry_pattern_c9_match,entry_pattern_c_any_match,entry_pattern_w1_match,entry_pattern_w2_match,entry_pattern_w3_match,entry_pattern_w4_match,entry_pattern_w5_match,entry_pattern_w6_match,entry_pattern_w_any_match,pattern_cell_source,pattern_fixed_tp_pct,pattern_fixed_sl_pct,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_range_position,entry_adx_delta,entry_quality_score,entry_btc_regime,exit_btc_regime,entry_btc_regime_started_at,entry_btc_trend_gap_pct,entry_pos_di,entry_neg_di,entry_atr_pct,entry_ema50_slope,entry_funding_rate,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_btc_dist_from_ema13_pct,entry_btc_1h_slope,phantom_be_aggr_triggered_at,phantom_be_aggr_would_exit_pnl,entry_pair_volume_24h_usd,exit_pair_ema20_ema50_gap_pct,exit_btc_trend_gap_pct,first_cross_ema13_at,first_cross_ema13_pnl_pct,confirmed_cross_ema13_at,confirmed_cross_ema13_pnl_pct,first_cross_ema20_at,first_cross_ema20_pnl_pct,confirmed_cross_ema20_at,confirmed_cross_ema20_pnl_pct,entry_fee,exit_fee,total_fee,pnl,pnl_percentage,peak_pnl,trough_pnl,high_price_since_entry,low_price_since_entry,peak_ema5_gap,peak_ema5_dist_pct,peak_ema5_slope_pct,peak_reached_at,trough_reached_at,trough_ema5_dist_pct,ema5_went_negative,current_tp_level,dynamic_tp_target,no_expansion_last_check,signal_active_at_close,exit_slippage_pct,closing_in_progress,close_initiated_at,protective_sl_order_id,protective_tp_order_id,cell_multiplier,cell_lev_multiplier,cell_multiplier_source,cell_multiplier_capped,ema13_strict_held_pnl_pct,trailing_first_pullback_pnl_pct,trailing_pullback_resets,trailing_confirmed_at,exit_price_vs_ema5_pct,exit_ema5_slope_pct,exit_ema5_crossed,post_exit_running_high,post_exit_running_low,post_exit_running_peak_at,post_exit_running_trough_at,post_exit_peak_pnl,post_exit_trough_pnl,post_exit_peak_minutes,post_exit_trough_minutes,post_exit_signal_lost_minutes,post_exit_pnl_at_signal_lost,post_exit_final_pnl,post_exit_peak_before_signal_lost,post_exit_rsi_exit_minutes,post_exit_rsi_exit_pnl,post_exit_rsi3_exit_minutes,post_exit_rsi3_exit_pnl,post_arm_min_pnl_pct,post_arm_min_pnl_at,post_exit_ema13_cross_minutes,post_exit_ema13_cross_pnl,post_exit_regime_flip_at,post_exit_regime_flip_pnl_pct,post_exit_signal_regained_minutes,post_exit_pnl_at_signal_regained,post_exit_floor_before_signal_regain,post_exit_pnl_at_1min,post_exit_pnl_at_2min,post_exit_pnl_at_5min,post_exit_pnl_at_15min,post_exit_pnl_at_30min,phantom_be_l1_triggered_at,phantom_be_l1_would_exit_pnl,phantom_be_l2_triggered_at,phantom_be_l2_would_exit_pnl,phantom_regime_change_exit_triggered_at,phantom_regime_change_exit_pnl,phantom_tick_a_triggered_at,phantom_tick_a_pnl,phantom_tick_b_triggered_at,phantom_tick_b_pnl,phantom_tick_c_triggered_at,phantom_tick_c_pnl,phantom_tick_d_triggered_at,phantom_tick_d_pnl,phantom_tick_e_triggered_at,phantom_tick_e_pnl,phantom_tick_f_triggered_at,phantom_tick_f_pnl,phantom_tick_g_triggered_at,phantom_tick_g_pnl,signal_lost_flagged,signal_lost_flag_pnl,signal_lost_flagged_at,fl1_origin,fl2_flagged,fl2_flagged_at,fl2_flag_pnl,regime_neutral_hit_at,regime_neutral_pnl,regime_comeback_at,regime_comeback_pnl,regime_opposite_at,regime_opposite_pnl,first_rsi2_pnl,first_rsi2_minutes,first_rsi3_pnl,first_rsi3_minutes,opened_at,closed_at,close_reason,entry_order_type,exit_order_type,is_paper,notes
59,,TONUSDT,SHORT,CLOSED,1.7648,1.7616,1.762,635.8291082159159,20.0,12716.582164318317,7205.678923571123,STRONG_BUY,0.6036,0.2358,27.61,29.02,29.8872,29.3462,0.295,-0.2941,BEARISH,-0.2956,-0.0466,35.048,37.7173,34.2,36.0,57.0,0.1014,60.7,69.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,W1+W6,,,1.095,1.0806,15.4,82.1,7.8,0.541,3.0,STRONG_BEAR,HEALTHY_BEAR,,0.0898,15.619695967920732,33.9040347683852,0.358,-0.054,5e-05,-0.2057,-0.7603,-0.1438,0.2214,2026-05-24T13:29:21.300060,0.09707417271078075,123932621.54778,,-0.0429,,,,,,,,,5.7224619739432425,5.712085796293301,11.434547770236543,11.623624785190112,0.09140525838621202,0.42587120353580493,-0.49816183136899905,1.7648,1.7557,0.0,0.5984,-0.0467,2026-05-24T13:29:22.339887,,,RECOVERED,1,0.5,,True,,False,,,,2.0,1.0,W1+W6,False,-0.4641483454215867,,0,,0.1425,-0.1728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-24T13:25:50.097248,-0.1354,2026-05-24T13:28:07.358466,-0.0617,,,-0.107,8.18,-0.1977,40.54,2026-05-24T12:36:06,2026-05-24T13:36:38.864816,MANUAL,TAKER_FALLBACK,TAKER,True,
58,,1000PEPEUSDT,SHORT,CLOSED,0.0036038,0.0036126,0.0036125,635.8291082159159,20.0,12716.582164318317,3528659.2386698257,STRONG_BUY,0.3179,0.1137,25.49,26.96,27.3593,26.8609,0.1506,-0.1504,BEARISH,-0.1543,-0.0466,35.048,37.7173,34.2,36.0,57.0,0.1014,60.7,69.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,1.095,1.6129,15.4,82.1,12.8,0.4984,4.0,STRONG_BEAR,HEALTHY_BEAR,,0.0898,14.623061871059173,29.580895740595103,0.1913,-0.081,5e-05,-0.1772,-0.3811,-0.1438,0.2214,,,189334945.9893013,,0.0106,2026-05-24T12:43:53.087463,-0.3537,,,2026-05-24T13:01:13.255946,-0.3898,,,5.7224619739432425,5.736435464528376,11.458897438471618,-42.51109873876684,-0.33429657583662287,0.0,-0.39814681724845996,0.0036038,0.0036029,0.0,,,,2026-05-24T13:01:20.393671,-0.1554,ENDED_NEG,1,0.5,,False,,False,,,,2.0,1.0,W6,False,-0.3537292580054376,,0,,-0.0526,0.0194,True,0.0036136,0.0036007,2026-05-24T13:21:31.214743,2026-05-24T13:29:50.344467,,,,,,,,,,,,,,,,,,,,,,-0.3064,-0.2981,-0.3397,-0.1344,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-24T12:50:54.023447,-0.2316,2026-05-24T12:51:54.611045,-0.2621,,,-0.1067,1.37,-0.3121,5.4,2026-05-24T12:35:46,2026-05-24T13:15:38.320431,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
57,,ONDOUSDT,LONG,CLOSED,0.44010000000000005,0.436,0.4363,348.5636045109958,20.0,6971.272090219916,15840.200159554455,STRONG_BUY,0.2604,0.0865,58.45,54.23,18.969,18.2439,0.2041,0.2045,BULLISH,0.1302,0.0388,33.0948,30.9998,67.0,70.6,61.5,0.0616,63.9,64.4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,W4,,,0.6403,0.3265,66.7,15.4,52.5,0.7252,4.0,STRONG_BULL,STRONG_BULL,,0.1015,23.94153997037651,13.351710260155286,0.6659,0.394,5e-05,0.6855,0.3678,0.0705,0.1754,,,224042436.47319,,0.0953,2026-05-24T10:00:52.922350,-0.4264,,,2026-05-24T10:00:59.489631,-0.5172,,,1.254828976239585,3.107847271304584,4.362676247544169,-69.3074969017182,-0.9941872301749711,0.0,-0.9941872301749711,0.44010000000000005,0.44010000000000005,0.0,,,,2026-05-24T10:03:32.897995,-0.505,ENDED_NEG,1,0.5,,False,,False,,,,1.0,1.0,,False,-0.4263901386048729,,0,,-0.505,0.0818,False,0.4427,0.4348,2026-05-24T10:35:21.847673,2026-05-24T10:04:35.341892,0.5278,-1.2673,31.81,1.03,0.0,-0.9492,-0.7901,0.0,17.33,-0.7219,17.33,-0.7219,,,0.15,-0.9264,2026-05-24T10:10:19.878055,-0.9946,,,,-1.1991,-1.0628,-1.0855,-0.1312,0.2097,,,,,,,2026-05-24T10:28:14.455388,0.1869,2026-05-24T10:28:53.839636,0.2324,2026-05-24T10:28:54.848940,0.1642,2026-05-24T10:28:57.877763,0.1869,2026-05-24T10:28:59.899255,0.1415,2026-05-24T10:28:59.899255,0.1415,2026-05-24T10:29:06.984301,0.0961,False,,,,False,,,,,,,,,,,,,2026-05-24T10:00:39,2026-05-24T10:03:32.900415,STOP_LOSS L1,MAKER,TAKER,True,
56,,COSUSDT,LONG,CLOSED,0.001228,0.001224,0.001224,348.5636045109958,20.0,6971.272090219916,5676931.669560193,STRONG_BUY,0.3161,0.0767,59.86,57.43,17.813,17.2969,0.1586,0.1588,BULLISH,0.1309,0.0347,30.8108,28.7622,65.7,68.6,66.0,0.0626,63.9,60.8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,W4,,,0.792,0.5672,71.8,12.8,59.4,0.5161,4.0,STRONG_BULL,CHOPPY_FLAT,,0.0938,26.2808805297366,15.92998531143482,0.5396,0.1351,5e-05,0.2156,0.3493,0.0668,0.1617,,,58541670.639245,,0.0931,2026-05-24T10:02:51.021893,-0.4156,,,2026-05-24T10:04:36.850139,-0.497,,,3.137072440598962,3.1268539635937542,6.263926404192716,-28.97165308243281,-0.41558631921823125,0.07279315960912451,-0.49698289902280235,0.00123,0.001228,0.0,0.2592,0.0975,2026-05-24T10:01:56.867950,2026-05-24T10:04:36.850384,-0.2572,ENDED_NEG,1,0.5,,False,,False,,,,1.0,1.0,,False,-0.41558631921823125,,0,,-0.0688,-0.1531,True,0.001224,0.0012,2026-05-24T10:10:47.083603,2026-05-24T10:49:53.435719,-0.4157,-2.3701,0.0,39.11,0.0,-0.4157,-2.0444,0.0,0.0,-0.4157,11.12,-0.66,,,0.0,-0.4157,2026-05-24T10:10:47.237072,-0.4157,,,,-0.4972,-0.66,-0.66,-1.2301,-1.6372,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,2026-05-24T10:10:17.853204,-0.497,,,,,-0.497,8.13,-0.3342,4.1,2026-05-24T09:58:36,2026-05-24T10:10:46.752472,EMA13_CROSS_EXIT L1,TAKER_FALLBACK,TAKER,True,
55,,INJUSDT,LONG,CLOSED,5.228,5.206,5.209,366.3691769528926,20.0,7327.3835390578515,1401.5653288174926,STRONG_BUY,0.2879,0.0865,61.15,55.79,16.2033,15.9275,0.1731,0.1734,BULLISH,0.1302,0.0387,26.5976,24.3753,67.3,67.7,64.0,0.0681,63.7,60.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,-0.5,0.8858,0.963,74.4,12.8,89.1,0.2758,3.0,HEALTHY_BULL,STRONG_BULL,,0.08,25.282944473396395,16.929811944003628,0.4493,0.1865,5e-05,0.2552,0.3674,0.0829,0.1608,,,99353266.4601,,0.0933,2026-05-24T09:56:40.724406,-0.415,,,,,,,3.297322592576033,3.28344709582074,6.580769688396773,-37.415206922380705,-0.5106216526396203,0.08207249426167447,-0.5106216526396203,5.237,5.228,0.0,0.2913,0.2798,2026-05-24T09:52:29.915057,2026-05-24T09:56:49.787029,-0.2208,ENDED_NEG,1,0.5,,True,,False,,,,1.0,1.0,,False,-0.4150258224942513,,0,,-0.24,0.078,True,5.236,5.171,2026-05-24T10:27:08.583056,2026-05-24T10:41:21.546917,0.063,-1.1803,30.31,44.52,1.44,-0.5491,-1.1038,0.0,0.0,-0.4917,2.79,-0.6256,,,3.84,-0.6256,2026-05-24T10:10:18.866500,-0.243,,,,-0.5491,-0.5873,-0.7021,-0.2048,-0.7403,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.3577,6.1,-0.3577,6.1,2026-05-24T09:50:10,2026-05-24T09:56:49.804265,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
54,,ONDOUSDT,LONG,CLOSED,0.44070000000000004,0.4372,0.4373,366.3691769528926,20.0,7327.3835390578515,16626.692850142615,STRONG_BUY,0.2474,0.0813,61.56,50.74,17.1824,16.8489,0.4061,0.4078,BULLISH,0.1116,0.0382,26.5976,24.3753,66.4,67.7,64.0,0.0678,63.7,60.8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,W4,,,0.7896,0.4882,71.8,15.4,61.1,0.3335,1.0,HEALTHY_BULL,HEALTHY_BULL,,0.0794,24.82901461221569,16.035910062244,0.6925,0.3867,5e-05,0.6964,0.5545,0.0783,0.1603,,,225604014.35191,,0.08,2026-05-24T09:48:43.287053,-0.6073,,,2026-05-24T09:48:49.969758,-0.6981,,,1.3189290370304134,3.271135551337058,4.590064588367471,-62.7834895638676,-0.8568336737009435,0.0,-0.9021955979124203,0.44070000000000004,0.44070000000000004,0.0,,,,2026-05-24T09:49:19.852437,-0.2921,ENDED_NEG,1,0.5,,False,,False,,,,1.0,1.0,,False,-0.6073430905377837,,0,,-0.1471,0.0766,False,0.4426,0.4348,2026-05-24T10:28:36.662018,2026-05-24T10:04:35.341892,0.3681,-1.4018,38.74,14.72,0.01,-0.8572,0.1639,0.0,31.02,-0.8572,13.84,-1.0614,,,0.01,-0.8572,2026-05-24T10:10:17.856048,-1.1522,,,,-0.7891,-0.5622,-0.5168,-1.2656,-0.7664,,,,,,,2026-05-24T10:28:14.455388,0.0505,2026-05-24T10:28:53.839636,0.0958,,,2026-05-24T10:28:57.877763,0.0505,,,,,2026-05-24T10:29:31.217502,0.0505,False,,,,False,,,,,,,,,,,,,2026-05-24T09:47:49,2026-05-24T09:49:51.838918,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
53,,TAOUSDT,LONG,CLOSED,281.55,280.31,280.32,366.3691769528926,20.0,7327.3835390578515,26.02515908029782,STRONG_BUY,0.2385,0.0605,64.93,59.38,20.3937,18.6265,0.103,0.1031,BULLISH,0.0988,0.0345,24.3758,21.9808,66.9,66.6,63.2,0.0705,63.6,60.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,-0.5,0.8636,0.9257,71.8,15.4,75.6,1.7672,3.0,HEALTHY_BULL,STRONG_BULL,,0.0722,31.321209997625477,12.372518491419113,0.3036,0.2106,5e-05,0.3048,0.249,0.0907,0.1601,,,186290945.72,,0.095,2026-05-24T10:00:59.476081,-0.1766,,,2026-05-24T10:01:00.830939,-0.276,,,1.3189290370304134,3.282800553809227,4.60172959083964,-36.87292685040917,-0.5032209199076573,0.0861070857751788,-0.5032209199076573,281.97,281.55,0.0,0.2246,0.168,2026-05-24T09:44:01.960874,2026-05-24T10:04:18.890206,-0.3126,ENDED_NEG,1,0.5,,False,,False,,,,1.0,1.0,PAIR_60-65_18-22,False,-0.1766053986858438,,0,,-0.3161,-0.0599,True,282.55,279.14,2026-05-24T10:27:08.583056,2026-05-24T10:11:28.784213,0.2922,-0.919,22.82,7.15,0.01,-0.5034,-0.6561,0.0,2.4,-0.61,4.43,-0.6206,,,0.38,-0.5389,2026-05-24T10:10:21.911571,-0.7485,,,,-0.4679,-0.5922,-0.6597,-0.5816,-0.3613,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,-0.1127,7.13,2026-05-24T09:42:44,2026-05-24T10:04:19.236278,PATTERN_FIXED_SL L1,MAKER,TAKER,True,
52,,DASHUSDT,LONG,CLOSED,45.959,45.75,45.76,366.3691769528926,20.0,7327.3835390578515,159.43304987179553,VERY_STRONG,0.4344,0.1113,63.18,50.91,26.1395,25.8955,0.4159,0.4176,BULLISH,0.1558,0.0335,21.0375,19.4257,65.8,61.4,61.1,0.0638,63.4,60.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,UNMATCHED,,-0.5,0.8789,1.1763,71.8,20.5,85.7,0.244,4.0,HEALTHY_BULL,STRONG_BULL,,0.0626,31.174748866699726,17.041797423842727,0.5533,0.2528,5e-05,0.2966,0.694,0.0926,0.1586,,,60783966.68,,0.0953,2026-05-24T10:03:30.670182,-0.4958,,,,,,,1.3189290370304134,3.2823279142355903,4.601256951266004,-37.922764374471775,-0.5175485106290458,0.09141600121847289,-0.5175485106290458,46.03,45.959,0.0,0.2377,0.1903,2026-05-24T10:00:41.981188,2026-05-24T10:03:30.674314,-0.2052,ENDED_NEG,1,0.5,,True,,False,,,,1.0,1.0,,False,-0.49579977806306735,,0,,-0.2198,0.0379,True,45.96,45.43,2026-05-24T10:27:06.534476,2026-05-24T10:48:28.904256,-0.0608,-1.214,23.28,44.65,0.88,-0.8006,-1.127,0.0,3.92,-0.7353,29.18,-0.8441,,,1.89,-0.6483,2026-05-24T10:10:20.892106,-0.7571,,,,-0.7789,-0.6265,-0.6265,-0.6265,-0.6918,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,-0.3436,20.62,-0.3218,3.05,2026-05-24T09:37:39,2026-05-24T10:03:49.344799,PATTERN_FIXED_SL L1,MAKER,TAKER,True,
51,,COSUSDT,LONG,CLOSED,0.00123,0.001224,0.001228,373.66010584747744,20.0,7473.202116949549,6075774.078820772,STRONG_BUY,0.2951,0.1056,59.95,47.82,19.2267,19.1879,0.3913,0.3928,BULLISH,0.1291,0.0301,15.3914,14.0469,67.4,64.0,48.1,0.0554,62.8,60.8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,C4,,-0.5,0.866,0.9771,61.5,23.1,62.2,0.0388,4.0,CHOPPY_WEAK,HEALTHY_BULL,,0.0339,28.498271376475305,19.105313898800063,0.6175,0.028,5e-05,-0.0131,0.5995,0.096,0.1541,,,65111750.864582,,0.0456,,,,,,,,,3.362940952627297,3.346536362614481,6.709477315241778,-43.16412178816598,-0.5775853658536527,0.0,-0.5775853658536527,0.00123,0.00123,0.0,,,,2026-05-24T09:26:11.461131,-0.0197,ENDED_NEG,1,0.5,,True,,False,,,,1.0,1.0,,False,,,0,,-0.1014,0.6164,False,0.001232,0.001222,2026-05-24T09:56:09.717185,2026-05-24T09:43:25.790550,0.0726,-0.7404,29.97,17.23,40.53,-0.6591,-0.7404,0.0726,6.39,-0.5778,34.48,-0.1713,,,44.57,-0.5778,,,,,,-0.4965,-0.5778,-0.5778,-0.5778,0.0726,,,,,,,,,,,,,,,,,,,,,False,,,,False,,,,,,,,,,,,,2026-05-24T09:23:27,2026-05-24T09:26:11.470544,PATTERN_FIXED_SL L1,TAKER_FALLBACK,TAKER,True,
50,,AAVEUSDT,LONG,CLOSED,86.589,86.49,86.5,387.9112393004026,20.0,7758.2247860080515,89.59827213627656,STRONG_BUY,0.2017,0.0732,64.26,64.89,18.9231,17.9713,0.0967,0.0968,BULLISH,0.1076,0.0703,23.5486,21.7766,69.1,70.2,43.7,0.0815,65.6,65.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,W6,,,0.9635,0.8499,71.8,17.9,82.7,0.9518,2.0,HEALTHY_BULL,CHOPPY_WEAK,,0.0751,31.538675501386905,16.50336953409053,0.1864,0.032,5e-05,0.0542,0.245,0.1533,0.2166,,,73945228.4,,0.0299,2026-05-24T07:15:28.163417,-0.2581,,,2026-05-24T07:25:27.390956,-0.2927,,,1.3964804614814494,3.4872095506799514,4.8836900121614,-13.753918953653116,-0.1772817794408109,0.13439580085230973,-0.29271792029010396,86.76,86.589,0.0,0.2809,0.2588,2026-05-24T07:03:41.867375,2026-05-24T07:25:27.391314,-0.1307,ENDED_NEG,1,0.5,,False,,False,,,,1.0,1.0,PAIR_60-65_18-22,False,-0.2580870780353127,,0,,-0.0309,-0.0359,True,86.78,86.24,2026-05-24T08:31:38.737601,2026-05-24T08:14:13.644994,0.1576,-0.4661,33.22,15.8,0.0,-0.1773,0.0767,0.0,6.85,-0.0965,8.86,-0.3159,,,0.0,-0.1773,2026-05-24T07:58:25.748586,-0.1773,,,,-0.1311,-0.0272,-0.0849,-0.4083,0.0767,,,,,2026-05-24T07:55:42.159593,-0.1196,,,,,,,,,,,,,,,False,,,,False,,,2026-05-24T07:20:18.849464,-0.2004,,,2026-05-24T07:55:42.159386,-0.1196,-0.0849,9.11,-0.1427,11.13,2026-05-24T07:01:29,2026-05-24T07:58:25.406232,EMA13_CROSS_EXIT L1,MAKER,TAKER,True,
